disease,synonym_disease,,link,overview,symptoms,remedies,,,,,,,,,,,
anxiety disorders,,,https://www.mayoclinic.org/diseases-conditions/anxiety/symptoms-causes/syc-20350961,"Experiencing occasional anxiety is a normal part of life. However, people with anxiety disorders frequently have intense, excessive and persistent worry and fear about everyday situations. Often, anxiety disorders involve repeated episodes of sudden feelings of intense anxiety and fear or terror that reach a peak within minutes (panic attacks).","['Feeling nervous, restless or tense', 'Having a sense of impending danger, panic or doom', 'Having an increased heart rate', 'Breathing rapidly (hyperventilation)', 'Sweating', 'Trembling', 'Feeling weak or tired', 'Trouble concentrating or thinking about anything other than the present worry', 'Having trouble sleeping', 'Experiencing gastrointestinal (GI) problems', 'Having difficulty controlling worry', 'Having the urge to avoid things that trigger anxiety']","[""Keep physically active. Develop a routine so that you're physically active most days of the week. Exercise is a powerful stress reducer. It may improve your mood and help you stay healthy. Start out slowly and gradually increase the amount and intensity of your activities."", ""Avoid alcohol and recreational drugs. These substances can cause or worsen anxiety. If you can't quit on your own, see your doctor or find a support group to help you."", 'Quit smoking and cut back or quit drinking caffeinated beverages. Both nicotine and caffeine can worsen anxiety.', 'Use stress management and relaxation techniques. Visualization techniques, meditation and yoga are examples of relaxation techniques that can ease anxiety.', ""Make sleep a priority. Do what you can to make sure you're getting enough sleep to feel rested. If you aren't sleeping well, see your doctor."", 'Eat healthy. Healthy eating — such as focusing on vegetables, fruits, whole grains and fish — may be linked to reduced anxiety, but more research is needed.']",,,,,,,,,,,
athlete's foot,,,https://www.mayoclinic.org/diseases-conditions/athletes-foot/symptoms-causes/syc-20353841,Athlete's foot (tinea pedis) is a fungal skin infection that usually begins between the toes. It commonly occurs in people whose feet have become very sweaty while confined within tight-fitting shoes.,"['Scaly, peeling or cracked skin between the toes', 'Itchiness, especially right after taking off shoes and socks', 'Inflamed skin that might appear reddish, purplish or grayish, depending on your skin color', 'Burning or stinging', 'Blisters', 'Dry, scaly skin on the bottom of the foot that extends up the side']","['Keep your feet clean and dry. Wash your feet twice a day and gently towel-dry between the toes.', 'Use an antifungal product. After washing and drying your feet, apply an antifungal product. The antifungal terbinafine (Lamisil AT) has been shown to be very effective. Another option is clotrimazole (Lotrimin AF). You may need to experiment to find the product and formulation — ointment, gel, cream, lotion, powder or spray — that work for you. Apply the product to the affected skin as directed — usually twice a day until a week after the rash clears up. It might take 2 to 4 weeks to see results. If the condition comes back, you might need to start applying the product again.', 'Change socks regularly. Change your socks at least once a day — more often if your feet get really sweaty.', 'Wear light, well-ventilated footwear. Avoid shoes made of synthetic material, such as vinyl or rubber. Wear sandals when possible to let your feet air out.', 'Alternate pairs of shoes. Use different shoes from day to day. This gives your shoes time to dry after each use.', 'Protect your feet in public places. Wear waterproof sandals or shoes around public pools, showers and lockers rooms.', 'Try not to scratch the rash. You can try soothing your itchy feet by soaking them in cool water.', ""Don't share shoes. Sharing risks spreading a fungal infection.""]",,,,,,,,,,,
bad breath,,,https://www.mayoclinic.org/diseases-conditions/bad-breath/symptoms-causes/syc-20350922,"Bad breath, also called halitosis, can be embarrassing and in some cases may even cause anxiety. It's no wonder that store shelves are overflowing with gum, mints, mouthwashes and other products designed to fight bad breath. But many of these products are only temporary measures because they don't address the cause of the problem.","['Food. The breakdown of food particles in and around your teeth can increase bacteria and cause a foul odor. Eating certain foods, such as onions, garlic and spices, also can cause bad breath. After you digest these foods, they enter your bloodstream, are carried to your lungs and affect your breath.', 'Tobacco products. Smoking causes its own unpleasant mouth odor. Smokers and oral tobacco users are also more likely to have gum disease, another source of bad breath.', ""Poor dental hygiene. If you don't brush and floss daily, food particles remain in your mouth, causing bad breath. A colorless, sticky film of bacteria (plaque) forms on your teeth. If not brushed away, plaque can irritate your gums and eventually form plaque-filled pockets between your teeth and gums (periodontitis). Your tongue also can trap bacteria that produce odors. Dentures that aren't cleaned regularly or don't fit properly can harbor odor-causing bacteria and food particles."", 'Dry mouth. Saliva helps cleanse your mouth, removing particles that cause bad odors. A condition called dry mouth or xerostomia (zeer–o-STOE-me-uh) can contribute to bad breath because production of saliva is decreased. Dry mouth naturally occurs during sleep, leading to ""morning breath,"" and it worsens if you sleep with your mouth open. Chronic dry mouth can be caused by a problem with your salivary glands and some diseases.', 'Medications. Some medications can indirectly produce bad breath by contributing to dry mouth. Others can be broken down in the body to release chemicals that can be carried on your breath.', 'Infections in your mouth. Bad breath can be caused by surgical wounds after oral surgery, such as tooth removal, or as a result of tooth decay, gum disease or mouth sores.', 'Other mouth, nose and throat conditions. Bad breath can occasionally stem from small stones that form in the tonsils and are covered with bacteria that produce odor. Infections or chronic inflammation in the nose, sinuses or throat, which can contribute to postnasal drip, also can cause bad breath.', 'Other causes. Diseases, such as some cancers, and conditions such as metabolic disorders, can cause a distinctive breath odor as a result of chemicals they produce. Chronic reflux of stomach acids (gastroesophageal reflux disease, or GERD) can be associated with bad breath. Bad breath in young children can be caused by a foreign body, such as a piece of food, lodged in a nostril.']","['Brush your teeth after you eat. Keep a toothbrush at work to use after eating. Brush using a fluoride-containing toothpaste at least twice a day, especially after meals. Toothpaste with antibacterial properties has been shown to reduce bad breath odors.', 'Floss at least once a day. Proper flossing removes food particles and plaque from between your teeth, helping to control bad breath.', 'Brush your tongue. Your tongue harbors bacteria, so carefully brushing it may reduce odors. People who have a coated tongue from a significant overgrowth of bacteria (from smoking or dry mouth, for example) may benefit from using a tongue scraper. Or use a toothbrush that has a built-in tongue cleaner.', 'Clean dentures or dental appliances. If you wear a bridge or a denture, clean it thoroughly at least once a day or as directed by your dentist. If you have a dental retainer or mouth guard, clean it each time before you put it in your mouth. Your dentist can recommend the best cleaning product.', 'Avoid dry mouth. To keep your mouth moist, avoid tobacco and drink plenty of water — not coffee, soft drinks or alcohol, which can lead to a drier mouth. Chew gum or suck on candy (preferably sugarless) to stimulate saliva. For chronic dry mouth, your dentist or physician may prescribe an artificial saliva preparation or an oral medication that stimulates the flow of saliva.', 'Adjust your diet. Avoid foods such as onions and garlic that can cause bad breath. Eating a lot of sugary foods is also linked with bad breath.', 'Regularly get a new toothbrush. Change your toothbrush when it becomes frayed, about every three to four months, and choose a soft-bristled toothbrush.', 'Schedule regular dental checkups. See your dentist on a regular basis — generally twice a year — to have your teeth or dentures examined and cleaned.']",,,,,,,,,,,
bags under eyes,,,https://www.mayoclinic.org/diseases-conditions/bags-under-eyes/symptoms-causes/syc-20369927,"Bags under eyes are mild swelling or puffiness under the eyes. They're common as you age and the tissues around your eyes weaken, including some of the muscles supporting your eyelids. Fat that helps support the eyes can then move into the lower eyelids, causing them to appear puffy. Fluid may also accumulate below your eyes.","['Mild swelling', 'Saggy or loose skin', 'Dark circles']","['Use a cool compress. Wet a clean washcloth with cool water. While sitting up, apply the damp washcloth to the skin under and around your eyes for a few minutes using light pressure.', 'Cut down on fluids before bedtime and limit salt in your diet. This will reduce the fluid retention that can cause bags under eyes.', ""Don't smoke. Smoking can aggravate the problem of bags under your eyes."", 'Get enough sleep. For most adults, 7 to 9 hours is a good amount of sleep.', 'Sleep with your head slightly raised. It may help to add an extra pillow or prop up the head of your mattress. Or elevate the entire head of the bed a few inches. This helps prevent fluid from accumulating around your eyes as you sleep.', 'Reduce allergy symptoms. Avoid allergens when possible. Try nonprescription allergy medications. Talk to your health care provider about prevention strategies if you develop under-eye reactions due to hair dyes, soaps, cosmetics or other allergens.', 'Use cosmetics. If you wish to mask your under-eye circles, try using makeup.']",,,,,,,,,,,
baldness,hair loss,,https://www.mayoclinic.org/diseases-conditions/hair-loss/symptoms-causes/syc-20372926,"Hair loss (alopecia) can affect just your scalp or your entire body, and it can be temporary or permanent. It can be the result of heredity, hormonal changes, medical conditions or a normal part of aging. Anyone can lose hair on their head, but it's more common in men.","['Gradual thinning on top of head. This is the most common type of hair loss, affecting people as they age. In men, hair often begins to recede at the hairline on the forehead. Women typically have a broadening of the part in their hair. An increasingly common hair loss pattern in older women is a receding hairline (frontal fibrosing alopecia).', 'Circular or patchy bald spots. Some people lose hair in circular or patchy bald spots on the scalp, beard or eyebrows. Your skin may become itchy or painful before the hair falls out.', 'Sudden loosening of hair. A physical or emotional shock can cause hair to loosen. Handfuls of hair may come out when combing or washing your hair or even after gentle tugging. This type of hair loss usually causes overall hair thinning but is temporary.', 'Full-body hair loss. Some conditions and medical treatments, such as chemotherapy for cancer, can result in the loss of hair all over your body. The hair usually grows back.', 'Patches of scaling that spread over the scalp. This is a sign of ringworm. It may be accompanied by broken hair, redness, swelling and, at times, oozing.']","['List key personal information, including any major stresses or recent life changes.', ""Make a list of all medications, vitamins and supplements that you're taking."", 'List questions to ask your doctor.']",,,,,,,,,,,
bee sting,,,https://www.mayoclinic.org/diseases-conditions/bee-stings/symptoms-causes/syc-20353869,"Bee stings are a common outdoor nuisance. In most cases, bee stings are just annoying, and home treatment is all that's necessary to ease the pain. But if you're allergic to bee stings or you get stung numerous times, you may have a more-serious reaction that requires emergency treatment.","['Instant, sharp burning pain at the sting site', 'A red welt at the sting area', 'Slight swelling around the sting area']","[""If you can, remove the stinger as soon as possible, such as by scraping it off with a fingernail. Don't try to remove a stinger below the skin surface. A stinger may not be present, as only bees leave their stingers. Other stinging insects, such as wasps, do not."", 'Wash the sting area with soap and water.', 'Apply a cold compress.']",,,,,,,,,,,
binge-eating disorder,,,https://www.mayoclinic.org/diseases-conditions/binge-eating-disorder/symptoms-causes/syc-20353627,Binge-eating disorder is a serious eating disorder in which you frequently consume unusually large amounts of food and feel unable to stop eating.,"['Eating unusually large amounts of food in a specific amount of time, such as over a two-hour period', 'Feeling that your eating behavior is out of control', ""Eating even when you're full or not hungry"", 'Eating rapidly during binge episodes', ""Eating until you're uncomfortably full"", 'Frequently eating alone or in secret', 'Feeling depressed, disgusted, ashamed, guilty or upset about your eating', 'Frequently dieting, possibly without weight loss']","[""Stick to your treatment. Don't skip therapy sessions. If you have a meal plan, do your best to stick to it and don't let setbacks derail your overall efforts."", ""Avoid dieting, unless it's supervised. Trying to diet can trigger more binge episodes, leading to a vicious cycle that's hard to break. Talk with your medical care provider about appropriate weight management strategies for you — don't diet unless it's recommended for your eating disorder treatment and supervised by your medical care provider."", 'Eat breakfast. Many people with binge-eating disorder skip breakfast. But, if you eat breakfast, you may be less prone to eating higher calorie meals later in the day.', 'Arrange your environment. Availability of certain foods can trigger binges for some people. Keep tempting binge foods out of your home or limit your exposure to those foods as best you can.', ""Get the right nutrients. Just because you may be eating a lot during binges doesn't mean you're eating the kinds of food that supply all the essential nutrients. Ask your medical care provider if you need to adjust your diet to provide essential vitamins and minerals."", ""Stay connected. Don't isolate yourself from caring family members and friends who want to see you get healthy. Understand that they have your best interests at heart."", 'Get active. Ask your medical care provider what kind of physical activity is appropriate for you, especially if you have health problems related to being overweight.']",,,,,,,,,,,
body lice,,,https://www.mayoclinic.org/diseases-conditions/body-lice/symptoms-causes/syc-20350310,"Body lice are tiny insects, about the size of a sesame seed. Body lice live in your clothing and bedding and travel to your skin several times a day to feed on blood. The most common sites for bites are around the neck, shoulders, armpits, waist and groin — places where clothing seams are most likely to touch skin.","['War refugees', 'Homeless people', 'People displaced by natural disasters']","[""How long do you think you've had body lice?"", 'What are your symptoms?', 'How were you infested with body lice?', 'Have you been in contact with others since noticing the body lice? What treatments have you tried?', 'Do you have any chronic health problems?', 'What medications and supplements do you take?']",,,,,,,,,,,
body odor and sweating,sweating and body odor,,https://www.mayoclinic.org/diseases-conditions/sweating-and-body-odor/symptoms-causes/syc-20353895,"Sweating and body odor are common when you exercise or you're too warm. They're also common when you're feeling nervous, anxious or stressed.","['You suddenly begin to sweat much more or less than usual', 'Sweating disrupts your daily routine', 'You experience night sweats for no apparent reason', 'You notice a change in your body odor']","['Bathe daily. Regular bathing, especially with an antibacterial soap, reduces the growth of bacteria on your skin.', 'Choose clothing to suit your activity. For daily wear, choose natural fabrics, such as cotton, wool and silk. These allow your skin to breathe. For exercise wear, you might prefer synthetic fabrics developed to wick moisture away from your skin.', 'Try relaxation techniques. Consider relaxation techniques, such as yoga, meditation or biofeedback. These practices can teach you to control the stress that triggers sweating.', ""Change your diet. Caffeinated beverages and spicy or strong-smelling foods may make you sweat more or have body odor that's stronger than usual. Eliminating these foods may help.""]",,,,,,,,,,,
calluses and corns,corns and calluses,,https://www.mayoclinic.org/diseases-conditions/corns-and-calluses/symptoms-causes/syc-20355946,"Corns and calluses are thick, hardened layers of skin that develop when the skin tries to protect itself against friction or pressure. They often form on feet and toes or hands and fingers.","['A thick, rough area of skin', 'A hardened, raised bump', 'Tenderness or pain under the skin', 'Flaky, dry or waxy skin']","['Soak your hands or feet. Soaking corns and calluses in warm, soapy water softens them. This can make it easier to remove the thickened skin.', ""Thin thickened skin. Once you've softened the affected skin, rub the corn or callus with a pumice stone, nail file, emery board or washcloth. This helps remove a layer of toughened skin. Don't use a sharp object to trim the skin. Don't use a pumice stone if you have diabetes."", 'Use corn pads. Apply a donut-shaped foam pad to protect the area where a corn or callus formed. Be careful using nonprescription liquid corn removers or medicated corn pads. These contain salicylic acid, which can irritate healthy skin and lead to infection, especially in people with diabetes or other conditions that cause poor blood flow. You can protect healthy skin by applying petroleum jelly (Vaseline) to the area around the corn or callus before using a medicated pad.', 'Moisturize your skin. Use moisturizer on your hands and feet regularly.', 'Wear comfortable shoes and socks. Wear well-fitting, cushioned shoes and socks, at least until your corn or callus disappears.']",,,,,,,,,,,
cavities/tooth decay,,,https://www.mayoclinic.org/diseases-conditions/cavities/symptoms-causes/syc-20352892,"Cavities are permanently damaged areas in the hard surface of your teeth that develop into tiny openings or holes. Cavities, also called tooth decay or caries, are caused by a combination of factors, including bacteria in your mouth, frequent snacking, sipping sugary drinks and not cleaning your teeth well.","['Toothache, spontaneous pain or pain that occurs without any apparent cause', 'Tooth sensitivity', 'Mild to sharp pain when eating or drinking something sweet, hot or cold', 'Visible holes or pits in your teeth', 'Brown, black or white staining on any surface of a tooth', 'Pain when you bite down']",[],,,,,,,,,,,
