,disease,link,overview,symptoms,remedies
10,"TGA, also known as
Transient global amnesia",https://www.mayoclinic.org/diseases-conditions/transient-global-amnesia/symptoms-causes/syc-20378531,"Transient global amnesia is an episode of confusion that comes on suddenly in a person who is otherwise alert. This confused state isn't caused by a more common neurological condition, such as epilepsy or stroke.","['Sudden onset of confusion that includes memory loss, seen by a witness', 'Being awake and alert and knowing who you are, despite memory loss', 'Normal cognition, such as the ability to recognize and name familiar objects and follow simple directions', ""No signs of damage to a particular area of the brain, such as being unable to move an arm or leg, movements you can't control, or problems understanding words""]",[]
11,Thalassemia,https://www.mayoclinic.org/diseases-conditions/thalassemia/symptoms-causes/syc-20354995,"Thalassemia (thal-uh-SEE-me-uh) is an inherited blood disorder that causes your body to have less hemoglobin than normal. Hemoglobin enables red blood cells to carry oxygen. Thalassemia can cause anemia, leaving you fatigued.","['Fatigue', 'Weakness', 'Pale or yellowish skin', 'Facial bone deformities', 'Slow growth', 'Abdominal swelling', 'Dark urine']","[""Avoid excess iron. Unless your doctor recommends it, don't take vitamins or other supplements that contain iron."", ""Eat a healthy diet. Healthy eating can help you feel better and boost your energy. Your doctor might also recommend a folic acid supplement to help your body make new red blood cells.\nTo keep your bones healthy, make sure your diet contains enough calcium and vitamin D. Ask your doctor what the right amounts are for you and whether you need a supplement.\nAsk your doctor about taking other supplements, as well, such as folic acid. It's a B vitamin that helps build red blood cells."", ""Avoid infections. Wash your hands frequently and avoid sick people. This is especially important if you've had your spleen removed.\nYou'll also need an annual flu shot, as well as vaccines to prevent meningitis, pneumonia and hepatitis B. If you develop a fever or other signs and symptoms of an infection, see your doctor for treatment.""]"
12,Thoracic aortic aneurysm,https://www.mayoclinic.org/diseases-conditions/thoracic-aortic-aneurysm/symptoms-causes/syc-20350188,"A thoracic aortic aneurysm is a weakened area in the body's main artery (aorta) in the chest. When the aortic wall is weak, the artery may widen. When the vessel is significantly widened, it's called an aneurysm.","['Back pain', 'Cough', 'Weak, scratchy voice (hoarseness)', 'Shortness of breath', 'Tenderness or pain in the chest']","[""Be aware of any pre-appointment restrictions. At the time you make the appointment, be sure to ask if there's anything you need to do in advance, such as restrict your diet. For an echocardiogram, for example, you may need to fast for a period of time beforehand."", ""Write down any symptoms you're experiencing, including any that may seem unrelated to a thoracic aortic aneurysm."", 'Write down key personal information, including a family history of heart disease, aneurysms or connective tissue disease.', 'Make a list of all medications, vitamins or supplements that you take.', 'Take a family member or friend along, if possible. Sometimes it can be difficult to recall all of the information provided to you during an appointment. Someone who accompanies you may remember something that you missed or forgot.', ""Be prepared to discuss your diet, exercise habits and tobacco use. If you don't already follow a diet or exercise routine, tell your care provider about any challenges you might face in getting started. Be sure to tell your health care provider if you're a current or former smoker."", ""Send imaging reports and bring records. It's helpful if you can send imaging reports to your health care provider in advance and bring your medical records."", 'Write down questions to ask your health care provider.']"
13,Thoracic outlet syndrome,https://www.mayoclinic.org/diseases-conditions/thoracic-outlet-syndrome/symptoms-causes/syc-20353988,Thoracic outlet syndrome (TOS) is a group of disorders that occur when blood vessels or nerves in the space between your collarbone and your first rib (thoracic outlet) are compressed. This can cause shoulder and neck pain and numbness in your fingers.,"['Neurogenic (neurologic) thoracic outlet syndrome. This most common type of thoracic outlet syndrome is characterized by compression of the brachial plexus. The brachial plexus is a network of nerves that come from your spinal cord and control muscle movements and sensation in your shoulder, arm and hand.', 'Venous thoracic outlet syndrome. This type of thoracic outlet syndrome occurs when one or more of the veins under the collarbone (clavicle) are compressed, resulting in blood clots.', 'Arterial thoracic outlet syndrome. This is the least common type of TOS. It occurs when one of the arteries under the collarbone is compressed, resulting in bulging of the artery, also known as an aneurysm.']","['Maintain good posture', 'Take frequent breaks at work to move and stretch', 'Maintain a healthy weight', ""Create a work area that allows you to keep good posture and doesn't make symptoms worse"", 'Gently massage your shoulders and thoracic outlet', 'Apply a heating pad to the area', 'Practice relaxation exercises such as deep breathing, meditation and stretching']"
14,"Three-day measles, also known as
Rubella",https://www.mayoclinic.org/diseases-conditions/rubella/symptoms-causes/syc-20377310,"Rubella is a contagious viral infection best known by its distinctive red rash. It's also called German measles or three-day measles. This infection may cause mild or no symptoms in most people. However, it can cause serious problems for unborn babies whose mothers become infected during pregnancy.","['Mild fever of 102 F (38.9 C) or lower', 'Headache', 'Stuffy or runny nose', 'Red, itchy eyes', 'Enlarged, tender lymph nodes at the base of the skull, the back of the neck and behind the ears', 'A fine, pink rash that begins on the face and quickly spreads to the trunk and then the arms and legs, before disappearing in the same order', 'Aching joints, especially in young women']","['Bed rest', 'Acetaminophen (Tylenol, others) for relief from fever and aches']"
15,Throat cancer,https://www.mayoclinic.org/diseases-conditions/throat-cancer/symptoms-causes/syc-20366462,Throat cancer refers cancer that develops in your throat (pharynx) or voice box (larynx).,"['A cough', 'Changes in your voice, such as hoarseness or not speaking clearly', 'Difficulty swallowing', 'Ear pain', ""A lump or sore that doesn't heal"", 'A sore throat', 'Weight loss']","['Smoking makes treatment less effective', 'Smoking makes it harder for your body to heal after surgery', 'Smoking increases your risk of getting another cancer in the future']"
16,"Thromboangiitis obliterans, also known as
Buerger's disease",https://www.mayoclinic.org/diseases-conditions/buergers-disease/symptoms-causes/syc-20350658,"Buerger's disease is a rare disease of the arteries and veins in the arms and legs. In Buerger's disease — also called thromboangiitis obliterans — your blood vessels become inflamed, swell and can become blocked with blood clots (thrombi).","['Tingling or numbness in the hands or feet.', 'Pale, reddish or blue-tinted hands or feet.', ""Pain that may come and go in your legs and feet or in your arms and hands. This pain may occur when you use your hands or feet and eases when you stop that activity (claudication), or when you're at rest."", ""Inflammation along a vein just below the skin's surface (due to a blood clot in the vein)."", ""Fingers and toes that turn pale when exposed to cold (Raynaud's phenomenon)."", 'Painful open sores on your fingers and toes.']","[""Exercise. Getting regular physical activity can benefit you in a number of ways, including helping to ease some of the pain of Buerger's disease. Try to get at least 30 minutes of moderate aerobic activity, such as walking or biking, most days of the week."", ""Skin care. Take care of your fingers and toes if you have Buerger's disease. Check the skin on your arms and legs daily for cuts and scrapes, keeping in mind that if you've lost feeling to a finger or toe you may not feel, for example, a cut when it happens. Keep your fingers and toes protected and avoid exposing them to cold."", ""Infection prevention. Low blood flow to your extremities means your body can't resist infection as easily. Small cuts and scrapes can easily turn into serious infections.\nClean any cut with soap and water, apply antibiotic ointment, and cover it with a clean bandage. Keep an eye on any cuts or scrapes to make sure they're healing. If they get worse or heal slowly, see your doctor promptly."", ""Gum care. Visit your dentist regularly to keep your gums and teeth in good health and avoid gum disease, which in its chronic form is linked to Buerger's disease."", ""Avoiding other people's smoke. In addition to not smoking yourself, it's important to avoid secondhand smoke too.""]"
17,"Thrombocythemia, essential, also known as
Essential thrombocythemia",https://www.mayoclinic.org/diseases-conditions/essential-thrombocythemia/symptoms-causes/syc-20361064,Essential thrombocythemia (throm-boe-sie-THEE-me-uh) is an uncommon disorder in which your body produces too many platelets. Platelets are the part of your blood that sticks together to form clots.,"['Headache', 'Dizziness or lightheadedness', 'Chest pain', 'Fainting', 'Temporary vision changes', 'Numbness or tingling of the hands and feet', 'Redness, throbbing and burning pain in the hands and feet']","['Eat healthy foods. Choose a varied diet rich in whole grains, vegetables and fruits, and low in saturated fats. Try to avoid trans fats. Learn about portion control to maintain a normal weight.', 'Increase your physical activity. Aim for at least 30 minutes of moderate physical activity a day. Take a brisk daily walk, ride your bike or swim laps.', 'Stop smoking. Smoking increases your risk of blood clots. If you smoke, take steps to stop.']"
18,Thrombocytopenia,https://www.mayoclinic.org/diseases-conditions/thrombocytopenia/symptoms-causes/syc-20378293,Thrombocytopenia is a condition in which you have a low blood platelet count. Platelets (thrombocytes) are colorless blood cells that help blood clot. Platelets stop bleeding by clumping and forming plugs in blood vessel injuries.,"['Easy or excessive bruising (purpura)', 'Superficial bleeding into the skin that appears as a rash of pinpoint-sized reddish-purple spots (petechiae), usually on the lower legs', 'Prolonged bleeding from cuts', 'Bleeding from your gums or nose', 'Blood in urine or stools', 'Unusually heavy menstrual flows', 'Fatigue', 'Enlarged spleen']","['Avoid activities that could cause injury. Ask your doctor which activities are safe for you. Contact sports, such as boxing, martial arts and football, carry a high risk of injury.', ""Drink alcohol in moderation, if at all. Alcohol slows the production of platelets in your body. Ask your doctor whether it's OK for you to drink alcohol."", 'Use caution with over-the-counter medications. Over-the-counter pain medications, such as aspirin and ibuprofen (Advil, Motrin IB, others) can prevent platelets from working properly.']"
19,Thrombocytosis,https://www.mayoclinic.org/diseases-conditions/thrombocytosis/symptoms-causes/syc-20378315,Platelets are blood particles produced in the bone marrow that play an important role in the process of forming blood clots. Thrombocytosis (throm-boe-sie-TOE-sis) is a disorder in which your body produces too many platelets.,"['Headache', 'Dizziness or lightheadedness', 'Chest pain', 'Weakness', 'Numbness or tingling of the hands and feet']",[]
20,Thrombophlebitis,https://www.mayoclinic.org/diseases-conditions/thrombophlebitis/symptoms-causes/syc-20354607,"Thrombophlebitis (throm-boe-fluh-BY-tis) is an inflammatory process that causes a blood clot to form and block one or more veins, usually in the legs. The affected vein might be near the surface of the skin (superficial thrombophlebitis) or deep within a muscle (deep vein thrombosis, or DVT).","['Warmth, tenderness and pain in the affected area', 'Redness and swelling']","['Use a warm washcloth to apply heat to the involved area several times daily', 'Keep your leg raised when sitting or lying down', 'Use a nonsteroidal anti-inflammatory drug (NSAID), such as ibuprofen (Advil, Motrin IB, others) or naproxen sodium (Aleve, others), if recommended by your doctor']"
21,"Thrush, oral, also known as
Oral thrush",https://www.mayoclinic.org/diseases-conditions/oral-thrush/symptoms-causes/syc-20353533,"Oral thrush — also called oral candidiasis (kan-dih-DIE-uh-sis) — is a condition in which the fungus Candida albicans accumulates on the lining of your mouth. Candida is a normal organism in your mouth, but sometimes it can overgrow and cause symptoms.","['Creamy white lesions on your tongue, inner cheeks, and sometimes on the roof of your mouth, gums and tonsils', 'Slightly raised lesions with a cottage cheese-like appearance', 'Redness, burning or soreness that may be severe enough to cause difficulty eating or swallowing', 'Slight bleeding if the lesions are rubbed or scraped', 'Cracking and redness at the corners of your mouth', 'A cottony feeling in your mouth', 'Loss of taste', 'Redness, irritation and pain under dentures (denture stomatitis)']","[""Practice good oral hygiene. Brush and floss regularly. Replace your toothbrush often until your infection clears up. Don't share toothbrushes."", 'Disinfect dentures. Ask your dentist for the best way to disinfect your dentures to avoid reinfection.', ""Try warm saltwater rinses. Dissolve about 1/2 teaspoon (2.5 milliliters) of salt in 1 cup (237 milliliters) of warm water. Swish the rinse and then spit it out, but don't swallow."", ""Use nursing pads. If you're breast-feeding and develop a fungal infection, use pads to help prevent the fungus from spreading to your clothes. Look for pads that don't have a plastic barrier, which can encourage the growth of candida. Wear a clean bra every day. Ask your doctor about the best way to clean your breast nipples, bottle nipples, pacifiers and any detachable parts of a breast pump if you use one.""]"
22,Thumb arthritis,https://www.mayoclinic.org/diseases-conditions/thumb-arthritis/symptoms-causes/syc-20378339,Thumb arthritis is common with aging and occurs when cartilage wears away from the ends of the bones that form the joint at the base of your thumb — also known as the carpometacarpal (CMC) joint.,"['Swelling, stiffness and tenderness at the base of your thumb', 'Decreased strength when pinching or grasping objects', 'Decreased range of motion', 'Enlarged or bony appearance of the joint at the base of your thumb']","['Modify hand tools. Consider purchasing adaptive equipment — such as jar openers, key turners and large zipper pulls — designed for people with limited hand strength. Replace traditional door handles, which you must grasp with your thumb, with levers.', 'Apply cold. Icing the joint for five to 15 minutes several times a day can help relieve swelling and pain.', 'Apply heat. For some, heat may be more effective than cold in relieving pain.']"
23,Thunderclap headaches,https://www.mayoclinic.org/diseases-conditions/thunderclap-headaches/symptoms-causes/syc-20378361,"Thunderclap headaches live up to their name, striking suddenly like a clap of thunder. The pain of these severe headaches peaks within 60 seconds.","['Strikes suddenly and severely', 'Peaks within 60 seconds', 'Can be accompanied by nausea or vomiting']",[]
24,Thyroid cancer,https://www.mayoclinic.org/diseases-conditions/thyroid-cancer/symptoms-causes/syc-20354161,"Thyroid cancer is a growth of cells that starts in the thyroid. The thyroid is a butterfly-shaped gland located at the base of the neck, just below the Adam's apple. The thyroid produces hormones that regulate heart rate, blood pressure, body temperature and weight.","['A lump (nodule) that can be felt through the skin on your neck', 'A feeling that close-fitting shirt collars are becoming too tight', 'Changes to your voice, including increasing hoarseness', 'Difficulty swallowing', 'Swollen lymph nodes in your neck', 'Pain in your neck and throat']",[]
25,"Thyroid gland enlargement, also known as
Goiter",https://www.mayoclinic.org/diseases-conditions/goiter/symptoms-causes/syc-20351829,A goiter (GOI-tur) is the irregular growth of the thyroid gland. The thyroid is a butterfly-shaped gland located at the base of the neck just below the Adam's apple.,"['Fatigue', 'Increased sensitivity to cold', 'Increased sleepiness', 'Dry skin', 'Constipation', 'Muscle weakness', 'Problems with memory or concentration']","['Saltwater fish and shellfish', 'Seaweed', 'Dairy products', 'Soy products']"
26,Thyroid nodules,https://www.mayoclinic.org/diseases-conditions/thyroid-nodules/symptoms-causes/syc-20355262,"Thyroid nodules are solid or fluid-filled lumps that form within your thyroid, a small gland located at the base of your neck, just above your breastbone.","['Be felt', 'Be seen, often as a swelling at the base of your neck', 'Press on your windpipe or esophagus, causing shortness of breath or difficulty swallowing']",[]
27,"Thyroid, overactive, also known as
Hyperthyroidism (overactive thyroid)",https://www.mayoclinic.org/diseases-conditions/hyperthyroidism/symptoms-causes/syc-20373659,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat.","['Unintentional weight loss, even when your appetite and food intake stay the same or increase', 'Rapid heartbeat (tachycardia) — commonly more than 100 beats a minute', 'Irregular heartbeat (arrhythmia)', 'Pounding of your heart (palpitations)', 'Increased appetite', 'Nervousness, anxiety and irritability', 'Tremor — usually a fine trembling in your hands and fingers', 'Sweating', 'Changes in menstrual patterns', 'Increased sensitivity to heat', 'Changes in bowel patterns, especially more frequent bowel movements', 'An enlarged thyroid gland (goiter), which may appear as a swelling at the base of your neck', 'Fatigue, muscle weakness', 'Difficulty sleeping', 'Skin thinning', 'Fine, brittle hair']","[""Don't smoke. Smoking has been linked to the development of Graves' ophthalmopathy and can make the condition worse after treatment."", ""Keep your eyes lubricated. Eyedrops may help relieve dryness and scratchiness at any time of the day. If your eyes don't completely close, you can tape your eyelids shut, or use a lubricating gel at bedtime to keep the cornea from drying out. A cool compress can also provide relieving moisture."", 'Protect your eyes. Wear sunglasses to help protect your eyes from the sun and wind.', 'Keep your head up. Raising the head of your bed may reduce swelling and relieve pressure on your eyes.', 'Try over-the-counter creams for swollen skin. Over-the-counter creams containing hydrocortisone (Cortizone-10, others) may help relieve red, swollen skin on your shins and feet. For help finding these creams, talk to your pharmacist.']"
28,"Thyroiditis, chronic lymphocytic, also known as
Hashimoto's disease",https://www.mayoclinic.org/diseases-conditions/hashimotos-disease/symptoms-causes/syc-20351855,Hashimoto's disease is an autoimmune disorder affecting the thyroid gland. The thyroid is a butterfly-shaped gland located at the base of the neck just below the Adam's apple. The thyroid produces hormones that help regulate many functions in the body.,"['Fatigue and sluggishness', 'Increased sensitivity to cold', 'Increased sleepiness', 'Dry skin', 'Constipation', 'Muscle weakness', 'Muscle aches, tenderness and stiffness', 'Joint pain and stiffness', 'Irregular or excessive menstrual bleeding', 'Depression', 'Problems with memory or concentration', 'Swelling of the thyroid (goiter)', 'A puffy face', 'Brittle nails', 'Hair loss', 'Enlargement of the tongue']",[]
29,"TIA, also known as
Transient ischemic attack (TIA)",https://www.mayoclinic.org/diseases-conditions/transient-ischemic-attack/symptoms-causes/syc-20355679,A transient ischemic attack (TIA) is a temporary period of symptoms similar to those of a stroke. A TIA usually lasts only a few minutes and doesn't cause permanent damage.,"['Weakness, numbness or paralysis in the face, arm or leg, typically on one side of the body', 'Slurred or garbled speech or difficulty understanding others', 'Blindness in one or both eyes or double vision', 'Vertigo or loss of balance or coordination']",[]
30,"Tic douloureux, also known as
Trigeminal neuralgia",https://www.mayoclinic.org/diseases-conditions/trigeminal-neuralgia/symptoms-causes/syc-20353344,"Trigeminal neuralgia is a condition that causes painful sensations similar to an electric shock on one side of the face. This chronic pain condition affects the trigeminal nerve, which carries sensation from your face to your brain. If you have trigeminal neuralgia, even mild stimulation of your face — such as from brushing your teeth or putting on makeup — may trigger a jolt of excruciating pain.","['Episodes of severe, shooting or jabbing pain that may feel like an electric shock', 'Spontaneous attacks of pain or attacks triggered by things such as touching the face, chewing, speaking or brushing teeth', 'Attacks of pain lasting from a few seconds to several minutes', 'Pain that occurs with facial spasms', 'Bouts of multiple attacks lasting days, weeks, months or longer — some people have periods when they experience no pain', 'Pain in areas supplied by the trigeminal nerve, including the cheek, jaw, teeth, gums, lips, or less often the eye and forehead', 'Pain affecting one side of the face at a time', 'Pain focused in one spot or spread in a wider pattern', 'Pain rarely occurring at night while sleeping', 'Attacks that become more frequent and intense over time']",[]
31,"Tinea barbae, also known as
Folliculitis",https://www.mayoclinic.org/diseases-conditions/folliculitis/symptoms-causes/syc-20361634,Folliculitis is a common skin condition that happens when hair follicles become inflamed. It's often caused by an infection with bacteria. At first it may look like small pimples around the tiny pockets from where each hair grows (hair follicles).,"['Clusters of small bumps or pimples around hair follicles', 'Pus-filled blisters that break open and crust over', 'Itchy, burning skin', 'Painful, tender skin', 'An inflamed bump']","['Apply a warm, moist washcloth. Do this several times a day to relieve discomfort and help the area drain, if needed. Moisten the washcloth with a vinegar solution made of 1 tablespoon (17 grams) of table white vinegar in 1 pint (473 milliliters) of water.', 'Apply a nonprescription antibiotic. Try one of the many infection-fighting lotions, gels and washes that are available in stores without a prescription.', 'Apply a soothing lotion or cream. Try relieving itchy skin with a soothing lotion or a nonprescription-strength hydrocortisone cream.', ""Clean the affected skin. Gently wash the infected skin at least twice a day with an antibacterial soap or cleanser, such as benzoyl peroxide. Use a clean washcloth and towel each time and don't share your towels or washcloths. Use hot, soapy water to wash these items."", ""Protect the skin. If you shave, stop if you can. Barber's itch usually clears up a few weeks after you stop shaving.""]"
32,"Tinea capitis, also known as
Ringworm (scalp)",https://www.mayoclinic.org/diseases-conditions/ringworm-scalp/symptoms-causes/syc-20354918,"Ringworm of the scalp (tinea capitis) is a rash caused by a fungal infection. It usually causes itchy, scaly, bald patches on the head. Ringworm gets its name because of its circular appearance. No worm is involved.","['One or more round, scaly or inflamed patches where the hair has broken off at or near the scalp', 'Patches that slowly get bigger and have small, black dots where the hair has broken off', 'Brittle or fragile hair that can be easily broken or pulled out', 'Tender or painful areas on the scalp']",[]
33,"Tinea corporis, also known as
Ringworm (body)",https://www.mayoclinic.org/diseases-conditions/ringworm-body/symptoms-causes/syc-20353780,"Ringworm of the body (tinea corporis) is a rash caused by a fungal infection. It's usually an itchy, circular rash with clearer skin in the middle. Ringworm gets its name because of its appearance. No worm is involved.","['A scaly ring-shaped area, typically on the buttocks, trunk, arms and legs', 'Itchiness', 'A clear or scaly area inside the ring, perhaps with a scattering of bumps whose color ranges from red on white skin to reddish, purplish, brown or gray on black and brown skin', 'Slightly raised, expanding rings', 'A round, flat patch of itchy skin', 'Overlapping rings']","['Keep the affected area clean and dry.', 'Apply an over-the-counter antifungal lotion, cream or ointment such as clotrimazole (Lotrimin AF) or terbinafine (Lamisil AT) as directed on the packaging.']"
34,"Tinea cruris, also known as
Jock itch",https://www.mayoclinic.org/diseases-conditions/jock-itch/symptoms-causes/syc-20353807,Jock itch (tinea cruris) is a fungal infection that causes a red and itchy rash in warm and moist areas of the body. The rash often affects the groin and inner thighs and may be shaped like a ring.,"['Are male', 'Are a teen or young adult', 'Wear tight underwear', 'Are overweight', 'Sweat heavily', 'Have a weakened immune system', 'Have diabetes']",[]
