name,link
"Addiction, drug, also known as
Drug addiction (substance use disorder)",https://www.mayoclinic.org/diseases-conditions/drug-addiction/symptoms-causes/syc-20365112
"Addiction, gambling, also known as
Compulsive gambling",https://www.mayoclinic.org/diseases-conditions/compulsive-gambling/symptoms-causes/syc-20355178
"Addiction, nicotine, also known as
Nicotine dependence",https://www.mayoclinic.org/diseases-conditions/nicotine-dependence/symptoms-causes/syc-20351584
Addison's disease,https://www.mayoclinic.org/diseases-conditions/addisons-disease/symptoms-causes/syc-20350293
"Adenitis, mesenteric, also known as
Mesenteric lymphadenitis",https://www.mayoclinic.org/diseases-conditions/mesenteric-lymphadenitis/symptoms-causes/syc-20353799
Adenomyosis,https://www.mayoclinic.org/diseases-conditions/adenomyosis/symptoms-causes/syc-20369138
"ADHD in children, also known as
Attention-deficit/hyperactivity disorder (ADHD) in children",https://www.mayoclinic.org/diseases-conditions/adhd/symptoms-causes/syc-20350889
"ADHD, Adult, also known as
Adult attention-deficit/hyperactivity disorder (ADHD)",https://www.mayoclinic.org/diseases-conditions/adult-adhd/symptoms-causes/syc-20350878
"Adhesive capsulitis, also known as
Frozen shoulder",https://www.mayoclinic.org/diseases-conditions/frozen-shoulder/symptoms-causes/syc-20372684
Adjustment disorders,https://www.mayoclinic.org/diseases-conditions/adjustment-disorders/symptoms-causes/syc-20355224
Adnexal tumors,https://www.mayoclinic.org/diseases-conditions/adnexal-tumors/symptoms-causes/syc-20355053
"Adolescent schizophrenia, also known as
Childhood schizophrenia",https://www.mayoclinic.org/diseases-conditions/childhood-schizophrenia/symptoms-causes/syc-20354483
Adrenal cancer,https://www.mayoclinic.org/diseases-conditions/adrenal-cancer/symptoms-causes/syc-20351026
"Adrenal mass, also known as
Benign adrenal tumors",https://www.mayoclinic.org/diseases-conditions/benign-adrenal-tumors/symptoms-causes/syc-20356190
Adrenoleukodystrophy,https://www.mayoclinic.org/diseases-conditions/adrenoleukodystrophy/symptoms-causes/syc-20369157
Adult attention-deficit/hyperactivity disorder (ADHD),https://www.mayoclinic.org/diseases-conditions/adult-adhd/symptoms-causes/syc-20350878
Adult Still's disease,https://www.mayoclinic.org/diseases-conditions/adult-stills-disease/symptoms-causes/syc-20351907
"AFM, also known as
Acute flaccid myelitis (AFM)",https://www.mayoclinic.org/diseases-conditions/acute-flaccid-myelitis/symptoms-causes/syc-20493046
Age spots (liver spots),https://www.mayoclinic.org/diseases-conditions/age-spots/symptoms-causes/syc-20355859
"Age-related macular degeneration, dry, also known as
Dry macular degeneration",https://www.mayoclinic.org/diseases-conditions/dry-macular-degeneration/symptoms-causes/syc-20350375
"Age-related macular degeneration, wet, also known as
Wet macular degeneration",https://www.mayoclinic.org/diseases-conditions/wet-macular-degeneration/symptoms-causes/syc-20351107
"Agnogenic myeloid metaplasia, also known as
Myelofibrosis",https://www.mayoclinic.org/diseases-conditions/myelofibrosis/symptoms-causes/syc-20355057
Agoraphobia,https://www.mayoclinic.org/diseases-conditions/agoraphobia/symptoms-causes/syc-20355987
"AIDP, also known as
Guillain-Barre syndrome",https://www.mayoclinic.org/diseases-conditions/guillain-barre-syndrome/symptoms-causes/syc-20362793
"AIDS/HIV, also known as
HIV/AIDS",https://www.mayoclinic.org/diseases-conditions/hiv-aids/symptoms-causes/syc-20373524
Airplane ear,https://www.mayoclinic.org/diseases-conditions/airplane-ear/symptoms-causes/syc-20351701
Albinism,https://www.mayoclinic.org/diseases-conditions/albinism/symptoms-causes/syc-20369184
"Alcohol addiction, also known as
Alcohol use disorder",https://www.mayoclinic.org/diseases-conditions/alcohol-use-disorder/symptoms-causes/syc-20369243
Alcohol intolerance,https://www.mayoclinic.org/diseases-conditions/alcohol-intolerance/symptoms-causes/syc-20369211
Alcohol poisoning,https://www.mayoclinic.org/diseases-conditions/alcohol-poisoning/symptoms-causes/syc-20354386
Alcohol use disorder,https://www.mayoclinic.org/diseases-conditions/alcohol-use-disorder/symptoms-causes/syc-20369243
Alcoholic hepatitis,https://www.mayoclinic.org/diseases-conditions/alcoholic-hepatitis/symptoms-causes/syc-20351388
"Allergic granulomatosis, also known as
Churg-Strauss syndrome",https://www.mayoclinic.org/diseases-conditions/churg-strauss-syndrome/symptoms-causes/syc-20353760
"Allergic granulomatosis and angiitis, also known as
Churg-Strauss syndrome",https://www.mayoclinic.org/diseases-conditions/churg-strauss-syndrome/symptoms-causes/syc-20353760
"Allergic rhinitis, also known as
Hay fever",https://www.mayoclinic.org/diseases-conditions/hay-fever/symptoms-causes/syc-20373039
Allergies,https://www.mayoclinic.org/diseases-conditions/allergies/symptoms-causes/syc-20351497
"Allergy, dust mite, also known as
Dust mite allergy",https://www.mayoclinic.org/diseases-conditions/dust-mites/symptoms-causes/syc-20352173
"Allergy, egg, also known as
Egg allergy",https://www.mayoclinic.org/diseases-conditions/egg-allergy/symptoms-causes/syc-20372115
"Allergy, food, also known as
Food allergy",https://www.mayoclinic.org/diseases-conditions/food-allergy/symptoms-causes/syc-20355095
"Allergy, latex, also known as
Latex allergy",https://www.mayoclinic.org/diseases-conditions/latex-allergy/symptoms-causes/syc-20374287
"Allergy, milk, also known as
Milk allergy",https://www.mayoclinic.org/diseases-conditions/milk-allergy/symptoms-causes/syc-20375101
"Allergy, mold, also known as
Mold allergy",https://www.mayoclinic.org/diseases-conditions/mold-allergy/symptoms-causes/syc-20351519
"Allergy, nickel, also known as
Nickel allergy",https://www.mayoclinic.org/diseases-conditions/nickel-allergy/symptoms-causes/syc-20351529
"Allergy, peanut, also known as
Peanut allergy",https://www.mayoclinic.org/diseases-conditions/peanut-allergy/symptoms-causes/syc-20376175
"Allergy, penicillin, also known as
Penicillin allergy",https://www.mayoclinic.org/diseases-conditions/penicillin-allergy/symptoms-causes/syc-20376222
"Allergy, pet, also known as
Pet allergy",https://www.mayoclinic.org/diseases-conditions/pet-allergy/symptoms-causes/syc-20352192
"Allergy, shellfish, also known as
Shellfish allergy",https://www.mayoclinic.org/diseases-conditions/shellfish-allergy/symptoms-causes/syc-20377503
"Allergy, wheat, also known as
Wheat allergy",https://www.mayoclinic.org/diseases-conditions/wheat-allergy/symptoms-causes/syc-20378897
"Alopecia, also known as
Hair loss",https://www.mayoclinic.org/diseases-conditions/hair-loss/symptoms-causes/syc-20372926
Alpha-gal syndrome,https://www.mayoclinic.org/diseases-conditions/alpha-gal-syndrome/symptoms-causes/syc-20428608
"ALS, also known as
Amyotrophic lateral sclerosis (ALS)",https://www.mayoclinic.org/diseases-conditions/amyotrophic-lateral-sclerosis/symptoms-causes/syc-20354022
"Alveolar osteitis, also known as
Dry socket",https://www.mayoclinic.org/diseases-conditions/dry-socket/symptoms-causes/syc-20354376
Alzheimer's disease,https://www.mayoclinic.org/diseases-conditions/alzheimers-disease/symptoms-causes/syc-20350447
Ambiguous genitalia,https://www.mayoclinic.org/diseases-conditions/ambiguous-genitalia/symptoms-causes/syc-20369273
"Amblyopia, also known as
Lazy eye (amblyopia)",https://www.mayoclinic.org/diseases-conditions/lazy-eye/symptoms-causes/syc-20352391
Ameloblastoma,https://www.mayoclinic.org/diseases-conditions/ameloblastoma/symptoms-causes/syc-20351278
Amenorrhea,https://www.mayoclinic.org/diseases-conditions/amenorrhea/symptoms-causes/syc-20369299
Amnesia,https://www.mayoclinic.org/diseases-conditions/amnesia/symptoms-causes/syc-20353360
"Amnesia, transient global, also known as
Transient global amnesia",https://www.mayoclinic.org/diseases-conditions/transient-global-amnesia/symptoms-causes/syc-20378531
"Amnestic syndrome, also known as
Amnesia",https://www.mayoclinic.org/diseases-conditions/amnesia/symptoms-causes/syc-20353360
Amniotic fluid embolism,https://www.mayoclinic.org/diseases-conditions/amniotic-fluid-embolism/symptoms-causes/syc-20369324
Ampullary cancer,https://www.mayoclinic.org/diseases-conditions/ampullary-cancer/symptoms-causes/syc-20355066
"Amyloid disease, also known as
Amyloidosis",https://www.mayoclinic.org/diseases-conditions/amyloidosis/symptoms-causes/syc-20353178
Amyloidosis,https://www.mayoclinic.org/diseases-conditions/amyloidosis/symptoms-causes/syc-20353178
Amyotrophic lateral sclerosis (ALS),https://www.mayoclinic.org/diseases-conditions/amyotrophic-lateral-sclerosis/symptoms-causes/syc-20354022
Anal cancer,https://www.mayoclinic.org/diseases-conditions/anal-cancer/symptoms-causes/syc-20354140
Anal fissure,https://www.mayoclinic.org/diseases-conditions/anal-fissure/symptoms-causes/syc-20351424
Anal fistula,https://www.mayoclinic.org/diseases-conditions/anal-fistula/symptoms-causes/syc-20352871
Anal itching,https://www.mayoclinic.org/diseases-conditions/anal-itching/symptoms-causes/syc-20369345
Anaphylaxis,https://www.mayoclinic.org/diseases-conditions/anaphylaxis/symptoms-causes/syc-20351468
Anemia,https://www.mayoclinic.org/diseases-conditions/anemia/symptoms-causes/syc-20351360
"Anemia, aplastic, also known as
Aplastic anemia",https://www.mayoclinic.org/diseases-conditions/aplastic-anemia/symptoms-causes/syc-20355015
"Anemia, Cooley's, also known as
Thalassemia",https://www.mayoclinic.org/diseases-conditions/thalassemia/symptoms-causes/syc-20354995
"Anemia, iron deficiency, also known as
Iron deficiency anemia",https://www.mayoclinic.org/diseases-conditions/iron-deficiency-anemia/symptoms-causes/syc-20355034
"Anemia, Mediterranean, also known as
Thalassemia",https://www.mayoclinic.org/diseases-conditions/thalassemia/symptoms-causes/syc-20354995
"Anemia, sickle cell, also known as
Sickle cell anemia",https://www.mayoclinic.org/diseases-conditions/sickle-cell-anemia/symptoms-causes/syc-20355876
"Anemia, vitamin deficiency, also known as
Vitamin deficiency anemia",https://www.mayoclinic.org/diseases-conditions/vitamin-deficiency-anemia/symptoms-causes/syc-20355025
"Aneurysm, abdominal aortic, also known as
Abdominal aortic aneurysm",https://www.mayoclinic.org/diseases-conditions/abdominal-aortic-aneurysm/symptoms-causes/syc-20350688
"Aneurysm, aortic, also known as
Aortic aneurysm",https://www.mayoclinic.org/diseases-conditions/aortic-aneurysm/symptoms-causes/syc-20369472
"Aneurysm, brain, also known as
Brain aneurysm",https://www.mayoclinic.org/diseases-conditions/brain-aneurysm/symptoms-causes/syc-20361483
"Aneurysm, cerebral, also known as
Brain aneurysm",https://www.mayoclinic.org/diseases-conditions/brain-aneurysm/symptoms-causes/syc-20361483
"Aneurysm, popliteal, also known as
Popliteal artery aneurysm",https://www.mayoclinic.org/diseases-conditions/popliteal-artery-aneurysm/symptoms-causes/syc-20355432
"Aneurysm, thoracic aortic, also known as
Thoracic aortic aneurysm",https://www.mayoclinic.org/diseases-conditions/thoracic-aortic-aneurysm/symptoms-causes/syc-20350188
Aneurysms,https://www.mayoclinic.org/diseases-conditions/aneurysms/symptoms-causes/syc-20354633
Angelman syndrome,https://www.mayoclinic.org/diseases-conditions/angelman-syndrome/symptoms-causes/syc-20355621
"Angiitis, also known as
Vasculitis",https://www.mayoclinic.org/diseases-conditions/vasculitis/symptoms-causes/syc-20363435
Angina,https://www.mayoclinic.org/diseases-conditions/angina/symptoms-causes/syc-20369373
"Angina pectoris, also known as
Angina",https://www.mayoclinic.org/diseases-conditions/angina/symptoms-causes/syc-20369373
"Angioedema and hives, also known as
Hives and angioedema",https://www.mayoclinic.org/diseases-conditions/hives-and-angioedema/symptoms-causes/syc-20354908
"Angiofollicular lymph node hyperplasia, also known as
Castleman disease",https://www.mayoclinic.org/diseases-conditions/castleman-disease/symptoms-causes/syc-20370735
Angiosarcoma,https://www.mayoclinic.org/diseases-conditions/angiosarcoma/symptoms-causes/syc-20350244
"Ankle fracture, also known as
Broken ankle",https://www.mayoclinic.org/diseases-conditions/broken-ankle/symptoms-causes/syc-20450025
"Ankle sprain, also known as
Sprained ankle",https://www.mayoclinic.org/diseases-conditions/sprained-ankle/symptoms-causes/syc-20353225
"Ankyloglossia, also known as
Tongue-tie (ankyloglossia)",https://www.mayoclinic.org/diseases-conditions/tongue-tie/symptoms-causes/syc-20378452
Ankylosing spondylitis,https://www.mayoclinic.org/diseases-conditions/ankylosing-spondylitis/symptoms-causes/syc-20354808
"Anorexia, also known as
Anorexia nervosa",https://www.mayoclinic.org/diseases-conditions/anorexia-nervosa/symptoms-causes/syc-20353591
Anorexia nervosa,https://www.mayoclinic.org/diseases-conditions/anorexia-nervosa/symptoms-causes/syc-20353591
Anorgasmia in women,https://www.mayoclinic.org/diseases-conditions/anorgasmia/symptoms-causes/syc-20369422
"Anterior cruciate ligament injury, also known as
ACL injury",https://www.mayoclinic.org/diseases-conditions/acl-injury/symptoms-causes/syc-20350738
"Anterior vaginal prolapse, also known as
Anterior vaginal prolapse (cystocele)",https://www.mayoclinic.org/diseases-conditions/cystocele/symptoms-causes/syc-20369452
Anterior vaginal prolapse (cystocele),https://www.mayoclinic.org/diseases-conditions/cystocele/symptoms-causes/syc-20369452
Anthrax,https://www.mayoclinic.org/diseases-conditions/anthrax/symptoms-causes/syc-20356203
"Antibiotic-associated colitis, also known as
Pseudomembranous colitis",https://www.mayoclinic.org/diseases-conditions/pseudomembranous-colitis/symptoms-causes/syc-20351434
Antibiotic-associated diarrhea,https://www.mayoclinic.org/diseases-conditions/antibiotic-associated-diarrhea/symptoms-causes/syc-20352231
Antiphospholipid syndrome,https://www.mayoclinic.org/diseases-conditions/antiphospholipid-syndrome/symptoms-causes/syc-20355831
Antisocial personality disorder,https://www.mayoclinic.org/diseases-conditions/antisocial-personality-disorder/symptoms-causes/syc-20353928
"Anxiety disorder, generalized, also known as
Generalized anxiety disorder",https://www.mayoclinic.org/diseases-conditions/generalized-anxiety-disorder/symptoms-causes/syc-20360803
"Anxiety disorder, social, also known as
Social anxiety disorder (social phobia)",https://www.mayoclinic.org/diseases-conditions/social-anxiety-disorder/symptoms-causes/syc-20353561
Anxiety disorders,https://www.mayoclinic.org/diseases-conditions/anxiety/symptoms-causes/syc-20350961
Aortic aneurysm,https://www.mayoclinic.org/diseases-conditions/aortic-aneurysm/symptoms-causes/syc-20369472
"Aortic aneurysm, abdominal, also known as
Abdominal aortic aneurysm",https://www.mayoclinic.org/diseases-conditions/abdominal-aortic-aneurysm/symptoms-causes/syc-20350688
"Aortic coarctation, also known as
Coarctation of the aorta",https://www.mayoclinic.org/diseases-conditions/coarctation-of-the-aorta/symptoms-causes/syc-20352529
Aortic dissection,https://www.mayoclinic.org/diseases-conditions/aortic-dissection/symptoms-causes/syc-20369496
Aortic valve disease,https://www.mayoclinic.org/diseases-conditions/aortic-valve-disease/symptoms-causes/syc-20355117
Aortic valve regurgitation,https://www.mayoclinic.org/diseases-conditions/aortic-valve-regurgitation/symptoms-causes/syc-20353129
Aortic valve stenosis,https://www.mayoclinic.org/diseases-conditions/aortic-stenosis/symptoms-causes/syc-20353139
Aphasia,https://www.mayoclinic.org/diseases-conditions/aphasia/symptoms-causes/syc-20369518
"Aphasia, primary progressive, also known as
Primary progressive aphasia",https://www.mayoclinic.org/diseases-conditions/primary-progressive-aphasia/symptoms-causes/syc-20350499
"Aphthous stomatitis, also known as
Canker sore",https://www.mayoclinic.org/diseases-conditions/canker-sore/symptoms-causes/syc-20370615
"Aphthous ulcer, also known as
Canker sore",https://www.mayoclinic.org/diseases-conditions/canker-sore/symptoms-causes/syc-20370615
"Apical ballooning syndrome, also known as
Broken heart syndrome",https://www.mayoclinic.org/diseases-conditions/broken-heart-syndrome/symptoms-causes/syc-20354617
Aplastic anemia,https://www.mayoclinic.org/diseases-conditions/aplastic-anemia/symptoms-causes/syc-20355015
Appendicitis,https://www.mayoclinic.org/diseases-conditions/appendicitis/symptoms-causes/syc-20369543
"APS, also known as
Antiphospholipid syndrome",https://www.mayoclinic.org/diseases-conditions/antiphospholipid-syndrome/symptoms-causes/syc-20355831
ARDS,https://www.mayoclinic.org/diseases-conditions/ards/symptoms-causes/syc-20355576
"Arenaviruses, also known as
Viral hemorrhagic fevers",https://www.mayoclinic.org/diseases-conditions/viral-hemorrhagic-fevers/symptoms-causes/syc-20351260
"Argentine hemorrhagic fever, also known as
Viral hemorrhagic fevers",https://www.mayoclinic.org/diseases-conditions/viral-hemorrhagic-fevers/symptoms-causes/syc-20351260
"Arm fracture, also known as
Broken arm",https://www.mayoclinic.org/diseases-conditions/broken-arm/symptoms-causes/syc-20353260
"Arnold-Chiari malformation, also known as
Chiari malformation",https://www.mayoclinic.org/diseases-conditions/chiari-malformation/symptoms-causes/syc-20354010
"Arrhythmia, also known as
Heart arrhythmia",https://www.mayoclinic.org/diseases-conditions/heart-arrhythmia/symptoms-causes/syc-20350668
Arteriosclerosis / atherosclerosis,https://www.mayoclinic.org/diseases-conditions/arteriosclerosis-atherosclerosis/symptoms-causes/syc-20350569
Arteriovenous fistula,https://www.mayoclinic.org/diseases-conditions/arteriovenous-fistula/symptoms-causes/syc-20369567
Arteriovenous malformation,https://www.mayoclinic.org/diseases-conditions/arteriovenous-malformation/symptoms-causes/syc-20350544
"Arteritis, giant cell, also known as
Giant cell arteritis",https://www.mayoclinic.org/diseases-conditions/giant-cell-arteritis/symptoms-causes/syc-20372758
"Arteritis, Takayasu's, also known as
Takayasu's arteritis",https://www.mayoclinic.org/diseases-conditions/takayasus-arteritis/symptoms-causes/syc-20351335
Arthritis,https://www.mayoclinic.org/diseases-conditions/arthritis/symptoms-causes/syc-20350772
"Arthritis, basal joint, also known as
Thumb arthritis",https://www.mayoclinic.org/diseases-conditions/thumb-arthritis/symptoms-causes/syc-20378339
"Arthritis, degenerative, also known as
Osteoarthritis",https://www.mayoclinic.org/diseases-conditions/osteoarthritis/symptoms-causes/syc-20351925
"Arthritis, gouty, also known as
Gout",https://www.mayoclinic.org/diseases-conditions/gout/symptoms-causes/syc-20372897
"Arthritis, infectious, also known as
Septic arthritis",https://www.mayoclinic.org/diseases-conditions/bone-and-joint-infections/symptoms-causes/syc-20350755
"Arthritis, juvenile idiopathic, also known as
Juvenile idiopathic arthritis",https://www.mayoclinic.org/diseases-conditions/juvenile-idiopathic-arthritis/symptoms-causes/syc-20374082
"Arthritis, osteoarthritis, also known as
Osteoarthritis",https://www.mayoclinic.org/diseases-conditions/osteoarthritis/symptoms-causes/syc-20351925
"Arthritis, psoriatic, also known as
Psoriatic arthritis",https://www.mayoclinic.org/diseases-conditions/psoriatic-arthritis/symptoms-causes/syc-20354076
"Arthritis, reactive, also known as
Reactive arthritis",https://www.mayoclinic.org/diseases-conditions/reactive-arthritis/symptoms-causes/syc-20354838
"Arthritis, rheumatoid, also known as
Rheumatoid arthritis",https://www.mayoclinic.org/diseases-conditions/rheumatoid-arthritis/symptoms-causes/syc-20353648
"Arthritis, septic, also known as
Septic arthritis",https://www.mayoclinic.org/diseases-conditions/bone-and-joint-infections/symptoms-causes/syc-20350755
"Arthritis, thumb, also known as
Thumb arthritis",https://www.mayoclinic.org/diseases-conditions/thumb-arthritis/symptoms-causes/syc-20378339
Asbestosis,https://www.mayoclinic.org/diseases-conditions/asbestosis/symptoms-causes/syc-20354637
Ascariasis,https://www.mayoclinic.org/diseases-conditions/ascariasis/symptoms-causes/syc-20369593
"ASD, also known as
Atrial septal defect (ASD)",https://www.mayoclinic.org/diseases-conditions/atrial-septal-defect/symptoms-causes/syc-20369715
"Aseptic necrosis, also known as
Avascular necrosis (osteonecrosis)",https://www.mayoclinic.org/diseases-conditions/avascular-necrosis/symptoms-causes/syc-20369859
Aspergillosis,https://www.mayoclinic.org/diseases-conditions/aspergillosis/symptoms-causes/syc-20369619
Asthma,https://www.mayoclinic.org/diseases-conditions/asthma/symptoms-causes/syc-20369653
Asthma attack,https://www.mayoclinic.org/diseases-conditions/asthma-attack/symptoms-causes/syc-20354268
"Asthma, childhood, also known as
Childhood asthma",https://www.mayoclinic.org/diseases-conditions/childhood-asthma/symptoms-causes/syc-20351507
"Asthma, exercise-induced, also known as
Exercise-induced asthma",https://www.mayoclinic.org/diseases-conditions/exercise-induced-asthma/symptoms-causes/syc-20372300
"Asthma, occupational, also known as
Occupational asthma",https://www.mayoclinic.org/diseases-conditions/occupational-asthma/symptoms-causes/syc-20375772
Astigmatism,https://www.mayoclinic.org/diseases-conditions/astigmatism/symptoms-causes/syc-20353835
Astrocytoma,https://www.mayoclinic.org/diseases-conditions/astrocytoma/cdc-20350132
"AT, also known as
Atrial tachycardia",https://www.mayoclinic.org/diseases-conditions/atrial-tachycardia/cdc-20355258
Ataxia,https://www.mayoclinic.org/diseases-conditions/ataxia/symptoms-causes/syc-20355652
Atelectasis,https://www.mayoclinic.org/diseases-conditions/atelectasis/symptoms-causes/syc-20369684
"Atherosclerosis, also known as
Arteriosclerosis / atherosclerosis",https://www.mayoclinic.org/diseases-conditions/arteriosclerosis-atherosclerosis/symptoms-causes/syc-20350569
Athlete's foot,https://www.mayoclinic.org/diseases-conditions/athletes-foot/symptoms-causes/syc-20353841
Atopic dermatitis (eczema),https://www.mayoclinic.org/diseases-conditions/atopic-dermatitis-eczema/symptoms-causes/syc-20353273
Atrial fibrillation,https://www.mayoclinic.org/diseases-conditions/atrial-fibrillation/symptoms-causes/syc-20350624
Atrial flutter,https://www.mayoclinic.org/diseases-conditions/atrial-flutter/symptoms-causes/syc-20352586
Atrial septal defect (ASD),https://www.mayoclinic.org/diseases-conditions/atrial-septal-defect/symptoms-causes/syc-20369715
Atrial tachycardia,https://www.mayoclinic.org/diseases-conditions/atrial-tachycardia/cdc-20355258
Atrioventricular canal defect,https://www.mayoclinic.org/diseases-conditions/atrioventricular-canal-defect/symptoms-causes/syc-20361492
Atrioventricular nodal reentry tachycardia (AVNRT),https://www.mayoclinic.org/diseases-conditions/avnrt/cdc-20355254
"Atrioventricular septal defect, also known as
Atrioventricular canal defect",https://www.mayoclinic.org/diseases-conditions/atrioventricular-canal-defect/symptoms-causes/syc-20361492
"Atrophic vaginitis, also known as
Vaginal atrophy",https://www.mayoclinic.org/diseases-conditions/vaginal-atrophy/symptoms-causes/syc-20352288
"Attachment disorder, also known as
Reactive attachment disorder",https://www.mayoclinic.org/diseases-conditions/reactive-attachment-disorder/symptoms-causes/syc-20352939
Attention-deficit/hyperactivity disorder (ADHD) in children,https://www.mayoclinic.org/diseases-conditions/adhd/symptoms-causes/syc-20350889
"Attention-deficit/hyperactivity disorder in adults, also known as
Adult attention-deficit/hyperactivity disorder (ADHD)",https://www.mayoclinic.org/diseases-conditions/adult-adhd/symptoms-causes/syc-20350878
Atypical depression,https://www.mayoclinic.org/diseases-conditions/atypical-depression/symptoms-causes/syc-20369747
Atypical hyperplasia of the breast,https://www.mayoclinic.org/diseases-conditions/atypical-hyperplasia/symptoms-causes/syc-20369773
Autism spectrum disorder,https://www.mayoclinic.org/diseases-conditions/autism-spectrum-disorder/symptoms-causes/syc-20352928
Autoimmune hepatitis,https://www.mayoclinic.org/diseases-conditions/autoimmune-hepatitis/symptoms-causes/syc-20352153
Autoimmune pancreatitis,https://www.mayoclinic.org/diseases-conditions/autoimmune-pancreatitis/symptoms-causes/syc-20369800
