,disease,link,overview,symptoms,remedies
10,"Acid reflux, infant, also known as
Infant reflux",https://www.mayoclinic.org/diseases-conditions/infant-acid-reflux/symptoms-causes/syc-20351408,"Infant reflux, when a baby spits up, occurs when food moves back up from a baby's stomach. Reflux occurs in healthy infants multiple times a day. As long as your baby is healthy, content and growing well, reflux is not a cause for concern.","[""Isn't gaining weight"", 'Consistently spits up forcefully, causing stomach contents to shoot out of his or her mouth (projectile vomiting)', 'Spits up green or yellow fluid', 'Spits up blood or a material that looks like coffee grounds', 'Refuses food', 'Has blood in his or her stool', 'Has difficulty breathing or a chronic cough', 'Begins spitting up at age 6 months or older', 'Is unusually irritable after eating']","['Feed your baby in an upright position. Also hold your baby in a sitting position for 30 minutes after feeding, if possible. Gravity can help stomach contents stay where they belong. Be careful not to jostle or jiggle your baby while the food is settling.', ""Try smaller, more-frequent feedings. Feed your baby slightly less than usual if you're bottle-feeding, or cut back a little on nursing time."", ""Take time to burp your baby. Frequent burps during and after feeding can keep air from building up in your baby's stomach."", 'Put baby to sleep on his or her back. Most babies should be placed on their backs to sleep, even if they have reflux.']"
11,ACL injury,https://www.mayoclinic.org/diseases-conditions/acl-injury/symptoms-causes/syc-20350738,"An ACL injury is a tear or sprain of the anterior cruciate (KROO-she-ate) ligament (ACL) — one of the strong bands of tissue that help connect your thigh bone (femur) to your shinbone (tibia). ACL injuries most commonly occur during sports that involve sudden stops or changes in direction, jumping and landing — such as soccer, basketball, football and downhill skiing.","['A loud pop or a ""popping"" sensation in the knee', 'Severe pain and inability to continue activity', 'Rapid swelling', 'Loss of range of motion', 'A feeling of instability or ""giving way"" with weight bearing']",[]
12,Acne,https://www.mayoclinic.org/diseases-conditions/acne/symptoms-causes/syc-20368047,"Acne is a skin condition that occurs when your hair follicles become plugged with oil and dead skin cells. It causes whiteheads, blackheads or pimples. Acne is most common among teenagers, though it affects people of all ages.","['Whiteheads (closed plugged pores)', 'Blackheads (open plugged pores)', 'Small red, tender bumps (papules)', 'Pimples (pustules), which are papules with pus at their tips', 'Large, solid, painful lumps under the skin (nodules)', 'Painful, pus-filled lumps under the skin (cystic lesions)']","[""Wash problem areas with a gentle cleanser. Twice a day, use your hands to wash your face with mild soap or a gentle cleanser (Cetaphil, Vanicream, others) and warm water. And be gentle if you're shaving affected skin.\nAvoid certain products, such as facial scrubs, astringents and masks. They tend to irritate the skin, which can worsen acne. Too much washing and scrubbing also can irritate the skin."", 'Try over-the-counter acne products to dry excess oil and promote peeling. Look for products containing benzoyl peroxide and adapalene as the active ingredients. You might also try products containing salicylic acid, glycolic acid or alpha hydroxy acids. It may take a few weeks of using a product before you see any improvement.\nCreams are less irritating than gels or ointments. Nonprescription acne medications may cause initial side effects — such as redness, dryness and scaling — that often improve after the first month of using them.', 'Avoid irritants. Oily or greasy cosmetics, sunscreens, hairstyling products or acne concealers can worsen acne. Instead, use products labeled water-based or noncomedogenic, which means they are less likely to cause acne.', 'Protect your skin from the sun. For some people, the sun worsens the discoloration that sometimes lingers after the acne has cleared. And some acne medications make you more susceptible to sunburn. Check with your doctor to see if your medication is one of these. If it is, stay out of the sun as much as possible. Regularly use a nonoily (noncomedogenic) moisturizer that includes a sunscreen.', 'Avoid friction or pressure on your skin. Protect your acne-prone skin from contact with items such as phones, helmets, tight collars or straps, and backpacks.', 'Avoid touching or picking acne-prone areas. Doing so can trigger more acne or lead to infection or scarring.', 'Shower after strenuous activities. Oil and sweat on your skin can lead to breakouts.']"
13,"Acne inversa, also known as
Hidradenitis suppurativa",https://www.mayoclinic.org/diseases-conditions/hidradenitis-suppurativa/symptoms-causes/syc-20352306,"Hidradenitis suppurativa (hi-drad-uh-NIE-tis sup-yoo-ruh-TIE-vuh) is a condition that causes small, painful lumps to form under the skin. The lumps usually develop in areas where your skin rubs together, such as the armpits, groin, buttocks and breasts. The lumps heal slowly, recur, and can lead to tunnels under the skin and scarring.","['Blackheads. Blackheads appear in small pitted areas of skin, often appearing in pairs.', 'Painful pea-sized lumps. The condition usually starts with a single, painful lump under the skin that persists for weeks or months. More bumps may form later, usually in areas where you have more sweat and oil glands or where the skin rubs together, such as the armpits, groin, buttocks and breasts.', 'Leaking bumps or sores. Some bumps or sores get bigger, break open and drain pus with an odor.', 'Tunnels. Over time, tunnels might form under the skin, connecting the lumps. These wounds heal very slowly, if at all, and drain blood and pus.']","[""Follow a daily skin care routine. Gently wash your body with a nonsoap cleanser. It can sometimes be helpful to use an antiseptic wash such as chlorhexidine 4% or benzoyl peroxide wash when showering. First try it once a week, then increase usage up to once a day if your skin tolerates it well. Pat dry.\nWhen washing, avoid using washcloths, loofahs or other such items on affected areas, as they can irritate skin. Don't squeeze pimples and sores. And avoid shaving or using depilatory creams."", 'Manage your pain. Gently applying a wet, warm compress can help reduce swelling and ease pain. Ask your doctor about an appropriate pain reliever and how to care for your wounds at home.', ""Try to keep or achieve a healthy weight and stay active. Not being at a healthy weight can worsen the symptoms of hidradenitis suppurativa. Talk with your doctor or a dietitian to develop a plan. Try to find activities that don't irritate your skin."", 'Consider altering your diet. Hidradenitis symptoms might be worsened by diets that include dairy, red meat and foods with a high glycemic index. If your diet includes these foods, talk with a dietitian about the benefits of eliminating them.', 'Quit smoking. If you smoke, try to quit. Smoking cessation has the potential to ease the symptoms of hidradenitis suppurativa.']"
14,Acoustic neuroma,https://www.mayoclinic.org/diseases-conditions/acoustic-neuroma/symptoms-causes/syc-20356127,"Acoustic neuroma, also known as vestibular schwannoma, is a noncancerous and usually slow-growing tumor that develops on the main (vestibular) nerve leading from your inner ear to your brain. Branches of this nerve directly influence your balance and hearing, and pressure from an acoustic neuroma can cause hearing loss, ringing in your ear and unsteadiness.","['Hearing loss, usually gradually worsening over months to years — although in rare cases sudden — and occurring on only one side or more severe on one side', 'Ringing (tinnitus) in the affected ear', 'Unsteadiness or loss of balance', 'Dizziness (vertigo)', 'Facial numbness and weakness or loss of muscle movement']",[]
15,"Acquired immunodeficiency syndrome, also known as
HIV/AIDS",https://www.mayoclinic.org/diseases-conditions/hiv-aids/symptoms-causes/syc-20373524,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.","['Fever', 'Headache', 'Muscle aches and joint pain', 'Rash', 'Sore throat and painful mouth sores', 'Swollen lymph glands, mainly on the neck', 'Diarrhea', 'Weight loss', 'Cough', 'Night sweats']","['Eat healthy foods. Make sure you get enough nourishment. Fresh fruits and vegetables, whole grains, and lean protein help keep you strong, give you more energy and support your immune system.', ""Avoid raw meat, eggs and more. Foodborne illnesses can be especially severe in people who are infected with HIV. Cook meat until it's well done. Avoid unpasteurized dairy products, raw eggs and raw seafood such as oysters, sushi or sashimi."", 'Get the right vaccinations. These may prevent typical infections such as pneumonia and influenza. Your health care provider may also recommend other vaccinations, including for HPV, hepatitis A and hepatitis B. Inactivated vaccines are generally safe, but most vaccines with live viruses are not, due to your weakened immune system.', 'Take care with companion animals. Some animals may carry parasites that can cause infections in people who are HIV-positive. Cat feces can cause toxoplasmosis, reptiles can carry salmonella, and birds can carry cryptococcus or histoplasmosis. Wash hands thoroughly after handling pets or emptying the litter box.']"
16,Acromegaly,https://www.mayoclinic.org/diseases-conditions/acromegaly/symptoms-causes/syc-20351222,Acromegaly is a hormonal disorder that develops when your pituitary gland produces too much growth hormone during adulthood.,"['Enlarged hands and feet', 'Enlarged facial features, including the facial bones, lips, nose and tongue', 'Coarse, oily, thickened skin', 'Excessive sweating and body odor', 'Small outgrowths of skin tissue (skin tags)', 'Fatigue and joint or muscle weakness', 'Pain and limited joint mobility', 'A deepened, husky voice due to enlarged vocal cords and sinuses', 'Severe snoring due to obstruction of the upper airway', 'Vision problems', 'Headaches, which may be persistent or severe', 'Menstrual cycle irregularities in women', 'Erectile dysfunction in men', 'Loss of interest in sex']",[]
17,Actinic keratosis,https://www.mayoclinic.org/diseases-conditions/actinic-keratosis/symptoms-causes/syc-20354969,"An actinic keratosis (ak-TIN-ik ker-uh-TOE-sis) is a rough, scaly patch on the skin that develops from years of sun exposure. It's often found on the face, lips, ears, forearms, scalp, neck or back of the hands.","['Rough, dry or scaly patch of skin, usually less than 1 inch (2.5 centimeters) in diameter', 'Flat to slightly raised patch or bump on the top layer of skin', 'In some cases, a hard, wartlike surface', 'Color variations, including pink, red or brown', 'Itching, burning, bleeding or crusting', 'New patches or bumps on sun-exposed areas of the head, neck, hands and forearms']",[]
18,Acute coronary syndrome,https://www.mayoclinic.org/diseases-conditions/acute-coronary-syndrome/symptoms-causes/syc-20352136,"Acute coronary syndrome is a term used to describe a range of conditions associated with sudden, reduced blood flow to the heart.","['Chest pain (angina) or discomfort, often described as aching, pressure, tightness or burning', 'Pain spreading from the chest to the shoulders, arms, upper abdomen, back, neck or jaw', 'Nausea or vomiting', 'Indigestion', 'Shortness of breath (dyspnea)', 'Sudden, heavy sweating (diaphoresis)', 'Lightheadedness, dizziness or fainting', 'Unusual or unexplained fatigue', 'Feeling restless or apprehensive']","[""Don't smoke. If you smoke, quit. Talk to your doctor if you need help quitting. Also, avoid secondhand smoke."", 'Eat a heart-healthy diet. Eat a diet with lots of fruits and vegetables, whole grains, and moderate amounts of low-fat dairy and lean meats.', 'Be active. Get regular exercise and stay physically active. If you have not been exercising regularly, talk to your doctor about the best exercise to begin a healthy and safe routine.', ""Check your cholesterol. Have your blood cholesterol levels checked regularly at your doctor's office. Avoid high-fat, high-cholesterol meat and dairy. If your doctor has prescribed a statin or other cholesterol-lowering medication, take it daily as directed by your doctor."", 'Control your blood pressure. Have your blood pressure checked regularly as recommended by your doctor. Take blood pressure medicine daily as recommended.', 'Maintain a healthy weight. Excess weight strains your heart and can contribute to high cholesterol, high blood pressure, diabetes, heart disease and other conditions.', 'Manage stress. To reduce your risk of a heart attack, reduce stress in your day-to-day activities. Rethink work habits and find healthy ways to minimize or deal with stressful events in your life. Talk to your doctor or a mental health care professional if you need help managing stress.', 'Drink alcohol in moderation. If you drink alcohol, do so in moderation. Drinking more than one to two alcoholic drinks a day can raise blood pressure.']"
19,"Acute febrile neutrophilic dermatosis, also known as
Sweet's syndrome",https://www.mayoclinic.org/diseases-conditions/sweets-syndrome/symptoms-causes/syc-20351117,"Sweet's syndrome, also called acute febrile neutrophilic dermatosis, is an uncommon skin condition. It causes fever and a painful skin rash that appears mostly on the arms, face and neck.","['Fever', 'Painful small red bumps on your arms, face, neck or back', 'Bumps that grow quickly in size, spreading into painful clusters up to an inch (2.5 centimeters) in diameter']",[]
20,Acute flaccid myelitis (AFM),https://www.mayoclinic.org/diseases-conditions/acute-flaccid-myelitis/symptoms-causes/syc-20493046,"Acute flaccid myelitis (AFM) is a rare but serious condition that affects the spinal cord. It can cause sudden weakness in the arms or legs, loss of muscle tone, and loss of reflexes. The condition mainly affects young children.","['Sudden arm or leg weakness', 'Sudden loss of muscle tone', 'Sudden loss of reflexes']",[]
21,"Acute granulocytic leukemia, also known as
Acute myelogenous leukemia",https://www.mayoclinic.org/diseases-conditions/acute-myelogenous-leukemia/symptoms-causes/syc-20369109,Acute myelogenous leukemia (AML) is a cancer of the blood and bone marrow — the spongy tissue inside bones where blood cells are made.,"['Fever', 'Bone pain', 'Lethargy and fatigue', 'Shortness of breath', 'Pale skin', 'Frequent infections', 'Easy bruising', 'Unusual bleeding, such as frequent nosebleeds and bleeding from the gums']",[]
22,"Acute inflammatory demyelinating polyneuropathy, also known as
Guillain-Barre syndrome",https://www.mayoclinic.org/diseases-conditions/guillain-barre-syndrome/symptoms-causes/syc-20362793,Guillain-Barre (gee-YAH-buh-RAY) syndrome is a rare disorder in which your body's immune system attacks your nerves. Weakness and tingling in your hands and feet are usually the first symptoms.,"['A pins and needles sensation in your fingers, toes, ankles or wrists', 'Weakness in your legs that spreads to your upper body', 'Unsteady walking or inability to walk or climb stairs', 'Difficulty with facial movements, including speaking, chewing or swallowing', 'Double vision or inability to move the eyes', 'Severe pain that may feel achy, shooting or cramplike and may be worse at night', 'Difficulty with bladder control or bowel function', 'Rapid heart rate', 'Low or high blood pressure', 'Difficulty breathing']",[]
23,Acute kidney failure,https://www.mayoclinic.org/diseases-conditions/kidney-failure/symptoms-causes/syc-20369048,"Acute kidney failure occurs when your kidneys suddenly become unable to filter waste products from your blood. When your kidneys lose their filtering ability, dangerous levels of wastes may accumulate, and your blood's chemical makeup may get out of balance.","['Decreased urine output, although occasionally urine output remains normal', 'Fluid retention, causing swelling in your legs, ankles or feet', 'Shortness of breath', 'Fatigue', 'Confusion', 'Nausea', 'Weakness', 'Irregular heartbeat', 'Chest pain or pressure', 'Seizures or coma in severe cases']","['Choose lower potassium foods. Your dietitian may recommend that you choose lower potassium foods. High-potassium foods include bananas, oranges, potatoes, spinach and tomatoes. Examples of low-potassium foods include apples, cauliflower, peppers, grapes and strawberries.', 'Avoid products with added salt. Lower the amount of sodium you eat each day by avoiding products with added salt, including many convenience foods, such as frozen dinners, canned soups and fast foods. Other foods with added salt include salty snack foods, canned vegetables, and processed meats and cheeses.', 'Limit phosphorus. Phosphorus is a mineral found in foods, such as whole-grain bread, oatmeal, bran cereals, dark-colored colas, nuts and peanut butter. Too much phosphorus in your blood can weaken your bones and cause skin itchiness. Your dietitian can give you specific recommendations on phosphorus and how to limit it in your particular situation.']"
24,Acute liver failure,https://www.mayoclinic.org/diseases-conditions/acute-liver-failure/symptoms-causes/syc-20352863,"Acute liver failure is loss of liver function that occurs quickly — in days or weeks — usually in a person who has no preexisting liver disease. It's most commonly caused by a hepatitis virus or drugs, such as acetaminophen. Acute liver failure is less common than chronic liver failure, which develops more slowly.","['Yellowing of your skin and eyeballs (jaundice)', 'Pain in your upper right abdomen', 'A swollen belly (ascites)', 'Nausea', 'Vomiting', 'A general sense of feeling unwell (malaise)', 'Disorientation or confusion', 'Sleepiness', 'Breath may have a musty or sweet odor', 'Tremors']",[]
25,"Acute lymphoblastic leukemia, also known as
Acute lymphocytic leukemia",https://www.mayoclinic.org/diseases-conditions/acute-lymphocytic-leukemia/symptoms-causes/syc-20369077,Acute lymphocytic leukemia (ALL) is a type of cancer of the blood and bone marrow — the spongy tissue inside bones where blood cells are made.,"['Bleeding from the gums', 'Bone pain', 'Fever', 'Frequent infections', 'Frequent or severe nosebleeds', 'Lumps caused by swollen lymph nodes in and around the neck, armpits, abdomen or groin', 'Pale skin', 'Shortness of breath', 'Weakness, fatigue or a general decrease in energy']",[]
26,Acute lymphocytic leukemia,https://www.mayoclinic.org/diseases-conditions/acute-lymphocytic-leukemia/symptoms-causes/syc-20369077,Acute lymphocytic leukemia (ALL) is a type of cancer of the blood and bone marrow — the spongy tissue inside bones where blood cells are made.,"['Bleeding from the gums', 'Bone pain', 'Fever', 'Frequent infections', 'Frequent or severe nosebleeds', 'Lumps caused by swollen lymph nodes in and around the neck, armpits, abdomen or groin', 'Pale skin', 'Shortness of breath', 'Weakness, fatigue or a general decrease in energy']",[]
27,"Acute lymphoid leukemia, also known as
Acute lymphocytic leukemia",https://www.mayoclinic.org/diseases-conditions/acute-lymphocytic-leukemia/symptoms-causes/syc-20369077,Acute lymphocytic leukemia (ALL) is a type of cancer of the blood and bone marrow — the spongy tissue inside bones where blood cells are made.,"['Bleeding from the gums', 'Bone pain', 'Fever', 'Frequent infections', 'Frequent or severe nosebleeds', 'Lumps caused by swollen lymph nodes in and around the neck, armpits, abdomen or groin', 'Pale skin', 'Shortness of breath', 'Weakness, fatigue or a general decrease in energy']",[]
28,"Acute myeloblastic leukemia, also known as
Acute myelogenous leukemia",https://www.mayoclinic.org/diseases-conditions/acute-myelogenous-leukemia/symptoms-causes/syc-20369109,Acute myelogenous leukemia (AML) is a cancer of the blood and bone marrow — the spongy tissue inside bones where blood cells are made.,"['Fever', 'Bone pain', 'Lethargy and fatigue', 'Shortness of breath', 'Pale skin', 'Frequent infections', 'Easy bruising', 'Unusual bleeding, such as frequent nosebleeds and bleeding from the gums']",[]
29,Acute myelogenous leukemia,https://www.mayoclinic.org/diseases-conditions/acute-myelogenous-leukemia/symptoms-causes/syc-20369109,Acute myelogenous leukemia (AML) is a cancer of the blood and bone marrow — the spongy tissue inside bones where blood cells are made.,"['Fever', 'Bone pain', 'Lethargy and fatigue', 'Shortness of breath', 'Pale skin', 'Frequent infections', 'Easy bruising', 'Unusual bleeding, such as frequent nosebleeds and bleeding from the gums']",[]
30,"Acute myeloid lukemia, also known as
Acute myelogenous leukemia",https://www.mayoclinic.org/diseases-conditions/acute-myelogenous-leukemia/symptoms-causes/syc-20369109,Acute myelogenous leukemia (AML) is a cancer of the blood and bone marrow — the spongy tissue inside bones where blood cells are made.,"['Fever', 'Bone pain', 'Lethargy and fatigue', 'Shortness of breath', 'Pale skin', 'Frequent infections', 'Easy bruising', 'Unusual bleeding, such as frequent nosebleeds and bleeding from the gums']",[]
31,"Acute nonlymphocytic leukemia, also known as
Acute myelogenous leukemia",https://www.mayoclinic.org/diseases-conditions/acute-myelogenous-leukemia/symptoms-causes/syc-20369109,Acute myelogenous leukemia (AML) is a cancer of the blood and bone marrow — the spongy tissue inside bones where blood cells are made.,"['Fever', 'Bone pain', 'Lethargy and fatigue', 'Shortness of breath', 'Pale skin', 'Frequent infections', 'Easy bruising', 'Unusual bleeding, such as frequent nosebleeds and bleeding from the gums']",[]
32,"Acute radiation sickness, also known as
Radiation sickness",https://www.mayoclinic.org/diseases-conditions/radiation-sickness/symptoms-causes/syc-20377058,Radiation sickness is damage to your body caused by a large dose of radiation often received over a short period of time (acute). The amount of radiation absorbed by the body — the absorbed dose — determines how sick you'll be.,"['Nausea and vomiting', 'Diarrhea', 'Headache', 'Fever', 'Dizziness and disorientation', 'Weakness and fatigue', 'Hair loss', 'Bloody vomit and stools from internal bleeding', 'Infections', 'Low blood pressure']",[]
33,"Acute radiation syndrome, also known as
Radiation sickness",https://www.mayoclinic.org/diseases-conditions/radiation-sickness/symptoms-causes/syc-20377058,Radiation sickness is damage to your body caused by a large dose of radiation often received over a short period of time (acute). The amount of radiation absorbed by the body — the absorbed dose — determines how sick you'll be.,"['Nausea and vomiting', 'Diarrhea', 'Headache', 'Fever', 'Dizziness and disorientation', 'Weakness and fatigue', 'Hair loss', 'Bloody vomit and stools from internal bleeding', 'Infections', 'Low blood pressure']",[]
