,disease,link,overview,symptoms,remedies
10,Melanoma,https://www.mayoclinic.org/diseases-conditions/melanoma/symptoms-causes/syc-20374884,"Melanoma, the most serious type of skin cancer, develops in the cells (melanocytes) that produce melanin — the pigment that gives your skin its color. Melanoma can also form in your eyes and, rarely, inside your body, such as in your nose or throat.","['A change in an existing mole', 'The development of a new pigmented or unusual-looking growth on your skin']",[]
11,"Melanoma of the eye, also known as
Eye melanoma",https://www.mayoclinic.org/diseases-conditions/eye-melanoma/symptoms-causes/syc-20372371,Melanoma is a type of cancer that develops in the cells that produce melanin — the pigment that gives your skin its color. Your eyes also have melanin-producing cells and can develop melanoma. Eye melanoma is also called ocular melanoma.,"['A sensation of flashes or specks of dust in your vision (floaters)', 'A growing dark spot on the iris', 'A change in the shape of the dark circle (pupil) at the center of your eye', 'Poor or blurry vision in one eye', 'Loss of peripheral vision']",[]
12,Membranous nephropathy,https://www.mayoclinic.org/diseases-conditions/membranous-nephropathy/symptoms-causes/syc-20365189,"Membranous nephropathy (MEM-bruh-nus nuh-FROP-uh-thee) occurs when the small blood vessels in the kidney (glomeruli), which filter wastes from the blood, become damaged and thickened. As a result, proteins leak from the damaged blood vessels into the urine (proteinuria). For many, loss of these proteins eventually causes signs and symptoms known as nephrotic syndrome.","['Swelling in the legs and ankles', 'Weight gain', 'Fatigue', 'Poor appetite', 'Urine that looks foamy', 'High cholesterol', 'Increased protein in the urine (proteinuria)', 'Decreased protein in the blood, particularly albumin']","['Have regular checkups', 'Follow your prescribed treatment for diabetes or high blood pressure', 'Lose excess weight by following a healthy diet and regular exercise program', 'Stop smoking, if you are a smoker', 'Limit use of over-the-counter pain medications', 'Make changes in your diet, such as eating less salt and less protein', 'Limit your intake of alcohol']"
13,Meniere's disease,https://www.mayoclinic.org/diseases-conditions/menieres-disease/symptoms-causes/syc-20374910,"Meniere's disease is a disorder of the inner ear that can lead to dizzy spells (vertigo) and hearing loss. In most cases, Meniere's disease affects only one ear.","['Recurring episodes of vertigo. You have a spinning sensation that starts and stops spontaneously. Episodes of vertigo occur without warning and usually last 20 minutes to several hours, but not more than 24 hours. Severe vertigo can cause nausea.', ""Hearing loss. Hearing loss in Meniere's disease may come and go, particularly early on. Eventually, most people have some permanent hearing loss."", 'Ringing in the ear (tinnitus). Tinnitus is the perception of a ringing, buzzing, roaring, whistling or hissing sound in your ear.', ""Feeling of fullness in the ear. People with Meniere's disease often feel pressure in an affected ear (aural fullness).""]","[""Sit or lie down when you feel dizzy. During an episode of vertigo, avoid things that can make your signs and symptoms worse, such as sudden movement, bright lights, watching television or reading. Try to focus on an object that isn't moving."", ""Rest during and after attacks. Don't rush to return to your normal activities."", 'Be aware you might lose your balance. Falling could lead to serious injury. Use good lighting if you get up in the night. A cane for walking might help with stability if you have chronic balance problems.']"
14,Meningioma,https://www.mayoclinic.org/diseases-conditions/meningioma/symptoms-causes/syc-20355643,"A meningioma is a tumor that arises from the meninges — the membranes that surround the brain and spinal cord. Although not technically a brain tumor, it is included in this category because it may compress or squeeze the adjacent brain, nerves and vessels. Meningioma is the most common type of tumor that forms in the head.","['Changes in vision, such as seeing double or blurriness', 'Headaches, especially those that are worse in the morning', 'Hearing loss or ringing in the ears', 'Memory loss', 'Loss of smell', 'Seizures', 'Weakness in your arms or legs', 'Language difficulty']",[]
15,Meningitis,https://www.mayoclinic.org/diseases-conditions/meningitis/symptoms-causes/syc-20350508,Meningitis is an inflammation of the fluid and membranes (meninges) surrounding your brain and spinal cord.,"['Sudden high fever', 'Stiff neck', 'Severe headache that seems different from normal', 'Headache with nausea or vomiting', 'Confusion or difficulty concentrating', 'Seizures', 'Sleepiness or difficulty waking', 'Sensitivity to light', 'No appetite or thirst', 'Skin rash (sometimes, such as in meningococcal meningitis)']",[]
16,"Meniscus tear, also known as
Torn meniscus",https://www.mayoclinic.org/diseases-conditions/torn-meniscus/symptoms-causes/syc-20354818,"A torn meniscus is one of the most common knee injuries. Any activity that causes you to forcefully twist or rotate your knee, especially when putting your full weight on it, can lead to a torn meniscus.","['A popping sensation', 'Swelling or stiffness', 'Pain, especially when twisting or rotating your knee', 'Difficulty straightening your knee fully', 'Feeling as though your knee is locked in place when you try to move it', 'Feeling of your knee giving way']","['When did the injury occur?', 'What were you doing at the time?', 'Did you hear a loud ""pop"" or feel a ""popping"" sensation?', 'Was there much swelling afterward?', 'Have you injured your knee before?', 'Have your symptoms been continuous or occasional?', 'Do certain movements seem to improve or worsen your symptoms?', 'Does your knee ever ""lock"" or feel blocked when you\'re trying to move it?', 'Do you ever feel that your knee is unstable or unable to support your weight?']"
17,Menopause,https://www.mayoclinic.org/diseases-conditions/menopause/symptoms-causes/syc-20353397,"Menopause is the time that marks the end of your menstrual cycles. It's diagnosed after you've gone 12 months without a menstrual period. Menopause can happen in your 40s or 50s, but the average age is 51 in the United States.","['Irregular periods', 'Vaginal dryness', 'Hot flashes', 'Chills', 'Night sweats', 'Sleep problems', 'Mood changes', 'Weight gain and slowed metabolism', 'Thinning hair and dry skin', 'Loss of breast fullness']","['Cool hot flashes. Dress in layers, have a cold glass of water or go somewhere cooler. Try to pinpoint what triggers your hot flashes. For many women, triggers may include hot beverages, caffeine, spicy foods, alcohol, stress, hot weather and even a warm room.', ""Decrease vaginal discomfort. Try an over-the-counter, water-based vaginal lubricant (Astroglide, K-Y jelly, Sliquid, others) or a silicone-based lubricant or moisturizer (Replens, K-Y Liquibeads, Sliquid, others).\nYou might consider choosing a product that doesn't contain glycerin, which can cause burning or irritation if you're sensitive to that chemical. Staying sexually active also helps with vaginal discomfort by increasing blood flow to the vagina."", 'Get enough sleep. Avoid caffeine, which can make it hard to get to sleep, and avoid drinking too much alcohol, which can interrupt sleep. Exercise during the day, although not right before bedtime. If hot flashes disturb your sleep, you may need to find a way to manage them before you can get adequate rest.', 'Practice relaxation techniques. Techniques such as deep breathing, paced breathing, guided imagery, massage and progressive muscle relaxation may help with menopausal symptoms. You can find a number of books and online offerings that show different relaxation exercises.', 'Strengthen your pelvic floor. Pelvic floor muscle exercises, called Kegel exercises, can improve some forms of urinary incontinence.', 'Eat a balanced diet. Include a variety of fruits, vegetables and whole grains. Limit saturated fats, oils and sugars. Ask your provider if you need calcium or vitamin D supplements to help meet daily requirements.', ""Don't smoke. Smoking increases your risk of heart disease, stroke, osteoporosis, cancer and a range of other health problems. It may also increase hot flashes and bring on earlier menopause."", 'Exercise regularly. Get regular physical activity or exercise on most days to help protect against heart disease, diabetes, osteoporosis and other conditions associated with aging.']"
18,Menorrhagia (heavy menstrual bleeding),https://www.mayoclinic.org/diseases-conditions/menorrhagia/symptoms-causes/syc-20352829,"Menorrhagia is the medical term for menstrual periods with abnormally heavy or prolonged bleeding. Although heavy menstrual bleeding is a common concern, most women don't experience blood loss severe enough to be defined as menorrhagia.","['Soaking through one or more sanitary pads or tampons every hour for several consecutive hours', 'Needing to use double sanitary protection to control your menstrual flow', 'Needing to wake up to change sanitary protection during the night', 'Bleeding for longer than a week', 'Passing blood clots larger than a quarter', 'Restricting daily activities due to heavy menstrual flow', 'Symptoms of anemia, such as tiredness, fatigue or shortness of breath']",[]
19,"Menstrual bleeding, excessive, also known as
Menorrhagia (heavy menstrual bleeding)",https://www.mayoclinic.org/diseases-conditions/menorrhagia/symptoms-causes/syc-20352829,"Menorrhagia is the medical term for menstrual periods with abnormally heavy or prolonged bleeding. Although heavy menstrual bleeding is a common concern, most women don't experience blood loss severe enough to be defined as menorrhagia.","['Soaking through one or more sanitary pads or tampons every hour for several consecutive hours', 'Needing to use double sanitary protection to control your menstrual flow', 'Needing to wake up to change sanitary protection during the night', 'Bleeding for longer than a week', 'Passing blood clots larger than a quarter', 'Restricting daily activities due to heavy menstrual flow', 'Symptoms of anemia, such as tiredness, fatigue or shortness of breath']",[]
20,Menstrual cramps,https://www.mayoclinic.org/diseases-conditions/menstrual-cramps/symptoms-causes/syc-20374938,Menstrual cramps (dysmenorrhea) are throbbing or cramping pains in the lower abdomen. Many women have menstrual cramps just before and during their menstrual periods.,"['Throbbing or cramping pain in your lower abdomen that can be intense', 'Pain that starts 1 to 3 days before your period, peaks 24 hours after the onset of your period and subsides in 2 to 3 days', 'Dull, continuous ache', 'Pain that radiates to your lower back and thighs']","['Exercise regularly. Physical activity, including sex, helps ease menstrual cramps for some women.', 'Use heat. Soaking in a hot bath or using a heating pad, hot water bottle or heat patch on your lower abdomen might ease menstrual cramps.', 'Try dietary supplements. A number of studies have indicated that vitamin E, omega-3 fatty acids, vitamin B-1 (thiamin), vitamin B-6 and magnesium supplements might reduce menstrual cramps.', 'Reduce stress. Psychological stress might increase your risk of menstrual cramps and their severity.']"
21,Mental illness,https://www.mayoclinic.org/diseases-conditions/mental-illness/symptoms-causes/syc-20374968,"Mental illness, also called mental health disorders, refers to a wide range of mental health conditions — disorders that affect your mood, thinking and behavior. Examples of mental illness include depression, anxiety disorders, schizophrenia, eating disorders and addictive behaviors.","['Feeling sad or down', 'Confused thinking or reduced ability to concentrate', 'Excessive fears or worries, or extreme feelings of guilt', 'Extreme mood changes of highs and lows', 'Withdrawal from friends and activities', 'Significant tiredness, low energy or problems sleeping', 'Detachment from reality (delusions), paranoia or hallucinations', 'Inability to cope with daily problems or stress', 'Trouble understanding and relating to situations and to people', 'Problems with alcohol or drug use', 'Major changes in eating habits', 'Sex drive changes', 'Excessive anger, hostility or violence', 'Suicidal thinking']","[""Stick to your treatment plan. Don't skip therapy sessions. Even if you're feeling better, don't skip your medications. If you stop, symptoms may come back. And you could have withdrawal-like symptoms if you stop a medication too suddenly. If you have bothersome drug side effects or other problems with treatment, talk to your doctor before making changes."", ""Avoid alcohol and drug use. Using alcohol or recreational drugs can make it difficult to treat a mental illness. If you're addicted, quitting can be a real challenge. If you can't quit on your own, see your doctor or find a support group to help you."", 'Stay active. Exercise can help you manage symptoms of depression, stress and anxiety. Physical activity can also counteract the effects of some psychiatric medications that may cause weight gain. Consider walking, swimming, gardening or any form of physical activity that you enjoy. Even light physical activity can make a difference.', 'Make healthy choices. Maintaining a regular schedule that includes sufficient sleep, healthy eating and regular physical activity are important to your mental health.', ""Don't make important decisions when your symptoms are severe. Avoid decision-making when you're in the depth of mental illness symptoms, since you may not be thinking clearly."", 'Determine priorities. You may reduce the impact of your mental illness by managing time and energy. Cut back on obligations when necessary and set reasonable goals. Give yourself permission to do less when symptoms are worse. You may find it helpful to make a list of daily tasks or use a planner to structure your time and stay organized.', 'Learn to adopt a positive attitude. Focusing on the positive things in your life can make your life better and may even improve your health. Try to accept changes when they occur, and keep problems in perspective. Stress management techniques, including relaxation methods, may help.']"
22,Meralgia paresthetica,https://www.mayoclinic.org/diseases-conditions/meralgia-paresthetica/symptoms-causes/syc-20355635,"Meralgia paresthetica (also known as lateral femoral cutaneous nerve entrapment) is a condition characterized by tingling, numbness and burning pain in your outer thigh. It's caused by compression of the nerve that provides sensation to the skin covering your thigh.","['Tingling and numbness', 'Burning pain', 'Decreased sensation', 'Increased sensitivity and pain to even a light touch']","['Avoid wearing tight clothing.', ""Maintain a healthy weight, or lose weight if you're overweight.""]"
23,Merkel cell carcinoma,https://www.mayoclinic.org/diseases-conditions/merkel-cell-carcinoma/symptoms-causes/syc-20351030,"Merkel cell carcinoma is a rare type of skin cancer that usually appears as a flesh-colored or bluish-red nodule, often on your face, head or neck. Merkel cell carcinoma is also called neuroendocrine carcinoma of the skin.","['Excessive exposure to natural or artificial sunlight. Being exposed to ultraviolet light, such as the light that comes from the sun or from tanning beds, increases your risk of Merkel cell carcinoma. The majority of Merkel cell carcinomas appear on skin surfaces frequently exposed to sun.', 'A weakened immune system. People with weakened immune systems — including those with HIV infection, those taking drugs that suppress the immune response or those with chronic leukemias — are more likely to develop Merkel cell carcinoma.', 'History of other skin cancers. Merkel cell carcinoma is associated with the development of other skin cancers, such as basal cell or squamous cell carcinoma.', 'Older age. Your risk of Merkel cell carcinoma increases as you age. This cancer is most common in people older than age 50, though it can occur at any age.', 'Light skin color. Merkel cell carcinoma usually arises in people who have light-colored skin. Whites are much more likely to be affected by this skin cancer than are blacks.']",[]
24,Mesenteric ischemia,https://www.mayoclinic.org/diseases-conditions/mesenteric-ischemia/symptoms-causes/syc-20374989,Mesenteric ischemia (mez-un-TER-ik is-KEE-me-uh) occurs when narrowed or blocked arteries restrict blood flow to your small intestine. Decreased blood flow can permanently damage the small intestine.,"['Abrupt, severe abdominal pain', 'Urgent need to have a bowel movement', 'Fever', 'Nausea and vomiting']",[]
25,Mesenteric lymphadenitis,https://www.mayoclinic.org/diseases-conditions/mesenteric-lymphadenitis/symptoms-causes/syc-20353799,"Lymphadenitis is a condition in which your lymph nodes become inflamed. When the condition affects the lymph nodes in the membrane that connects your bowel to the abdominal wall (mesentery), it's called mesenteric lymphadenitis (mez-un-TER-ik lim-fad-uh-NIE-tis).","['Abdominal pain, often centered on the lower right side, but the pain can be more widespread', 'General abdominal tenderness', 'Fever', 'Mesenteric lymph node enlargement']","['Get plenty of rest. Adequate rest can help your child recover.', 'Drink fluids. Liquids help prevent dehydration from fever, vomiting and diarrhea.', 'Apply moist heat. A warm, moist washcloth applied to the abdomen can help ease discomfort.']"
26,Mesothelioma,https://www.mayoclinic.org/diseases-conditions/mesothelioma/symptoms-causes/syc-20375022,Malignant mesothelioma (me-zoe-thee-lee-O-muh) is a type of cancer that occurs in the thin layer of tissue that covers the majority of your internal organs (mesothelium).,"['Chest pain', 'Painful coughing', 'Shortness of breath', 'Unusual lumps of tissue under the skin on your chest', 'Unexplained weight loss']",[]
27,Metabolic syndrome,https://www.mayoclinic.org/diseases-conditions/metabolic-syndrome/symptoms-causes/syc-20351916,"Metabolic syndrome is a cluster of conditions that occur together, increasing your risk of heart disease, stroke and type 2 diabetes. These conditions include increased blood pressure, high blood sugar, excess body fat around the waist, and abnormal cholesterol or triglyceride levels.","['Age. Your risk of metabolic syndrome increases with age.', 'Ethnicity. In the United States, Hispanics — especially Hispanic women — appear to be at the greatest risk of developing metabolic syndrome. The reasons for this are not entirely clear.', 'Obesity. Carrying too much weight, especially in your abdomen, increases your risk of metabolic syndrome.', ""Diabetes. You're more likely to have metabolic syndrome if you had diabetes during pregnancy (gestational diabetes) or if you have a family history of type 2 diabetes."", ""Other diseases. Your risk of metabolic syndrome is higher if you've ever had nonalcoholic fatty liver disease, polycystic ovary syndrome or sleep apnea.""]","[""Regular physical activity. Health experts recommend getting at least 30 minutes of exercise, such as brisk walking, daily. But you don't have to do that activity all at once. Look for ways to increase activity any chance you get, such as walking instead of driving and using the stairs instead of an elevator."", ""Weight loss. Losing 7% of your body weight can reduce insulin resistance and blood pressure and decrease your risk of diabetes. In fact, any amount of weight loss is beneficial. It's also important to maintain your weight loss. If you're struggling with losing weight and keeping it off, talk to your doctor about what options might be available to help you, such as medications or weight-loss surgery."", 'Healthy diet. Healthy-eating plans, such as the Dietary Approaches to Stop Hypertension (DASH) diet and the Mediterranean diet, emphasize eating vegetables, fruits, high-fiber whole grains and lean protein. Healthy-eating plans tend to recommend limiting sugar-sweetened beverages, alcohol, salt, sugar and fat, especially saturated fat and trans fat.', 'Stopping smoking. Giving up cigarettes greatly improves your overall health. Talk to your doctor if you need help quitting.', 'Reducing or managing stress. Physical activity, meditation, yoga and other programs can help you handle stress and improve your emotional and physical health.']"
28,Metachromatic leukodystrophy,https://www.mayoclinic.org/diseases-conditions/metachromatic-leukodystrophy/symptoms-causes/syc-20354733,"Metachromatic leukodystrophy is a rare hereditary (genetic) disorder that causes fatty substances (lipids) to build up in cells, particularly in the brain, spinal cord and peripheral nerves. This buildup is caused by a deficiency of an enzyme that helps break down lipids called sulfatides. The brain and nervous system progressively lose function because the substance that covers and protects the nerve cells (myelin) is damaged.","['Loss of the ability to detect sensations, such as touch, pain, heat and sound', 'Loss of intellectual, thinking and memory skills', 'Loss of motor skills, such as walking, moving, speaking and swallowing', 'Stiff, rigid muscles, poor muscle function and paralysis', 'Loss of bladder and bowel function', 'Gallbladder problems', 'Blindness', 'Hearing loss', 'Seizures', 'Emotional and behavioral problems, including unstable emotions and substance misuse']",[]
29,"Metastatic brain cancer, also known as
Brain metastases",https://www.mayoclinic.org/diseases-conditions/brain-metastases/symptoms-causes/syc-20350136,"Brain metastases occur when cancer cells spread from their original site to the brain. Any cancer can spread to the brain, but the types most likely to cause brain metastases are lung, breast, colon, kidney and melanoma.","['Headache, sometimes with vomiting or nausea', 'Mental changes, such as increasing memory problems', 'Seizures', 'Weakness or numbness on one side of the body']",[]
30,Metatarsalgia,https://www.mayoclinic.org/diseases-conditions/metatarsalgia/symptoms-causes/syc-20354790,"Metatarsalgia (met-uh-tahr-SAL-juh) is a condition in which the ball of your foot becomes painful and inflamed. You might develop it if you participate in activities that involve running and jumping. There are other causes as well, including foot deformities and shoes that are too tight or too loose.","['Sharp, aching or burning pain in the ball of your foot — the part of the sole just behind your toes', 'Pain that worsens when you stand, run, flex your feet or walk — especially barefoot on a hard surface — and improves when you rest', 'Sharp or shooting pain, numbness, or tingling in your toes', 'A feeling of having a pebble in your shoe']","['Rest. Protect your foot from further injury by not stressing it. Elevate your foot after standing or walking. You might need to avoid your favorite sport for a while, but you can stay fit with low-impact exercises, such as swimming or cycling.', 'Ice the affected area. Apply ice packs to the affected area for about 20 minutes at a time several times a day. To protect your skin, wrap the ice packs in a thin towel.', 'Take an over-the-counter pain reliever. Try ibuprofen (Advil, Motrin IB, others), naproxen sodium (Aleve) or aspirin to reduce pain and inflammation.', 'Wear proper shoes. Avoid too-tight or too-loose shoes and limit your wearing of high heels. Wear shoes appropriate to the sports you play.', 'Use metatarsal pads. These off-the-shelf pads are placed in your shoes just ahead of the metatarsal bone to help deflect stress from the painful area.', ""Consider arch supports. If insoles don't help, your doctor might recommend arch supports to minimize stress on the metatarsal bones and improve foot function. You can buy arch supports over-the-counter, or they can be custom fitted.""]"
31,"Methicillin-resistant staphylococcus aureus infection, also known as
MRSA infection",https://www.mayoclinic.org/diseases-conditions/mrsa/symptoms-causes/syc-20375336,Methicillin-resistant Staphylococcus aureus (MRSA) infection is caused by a type of staph bacteria that's become resistant to many of the antibiotics used to treat ordinary staph infections.,"['Warm to the touch', 'Full of pus or other drainage', 'Accompanied by a fever']",[]
32,"MGUS, also known as
Monoclonal gammopathy of undetermined significance (MGUS)",https://www.mayoclinic.org/diseases-conditions/mgus/symptoms-causes/syc-20352362,Monoclonal gammopathy of undetermined significance (MGUS) is a condition in which an abnormal protein — known as monoclonal protein or M protein — is in your blood.,"['Age. The average age at diagnosis is 70 years.', 'Race. Africans and African Americans are more likely to experience MGUS than are white people.', 'Sex. MGUS is more common in men.', 'Family history. You may have a higher risk of MGUS if other people in your family have the condition.']",[]
33,Microcephaly,https://www.mayoclinic.org/diseases-conditions/microcephaly/symptoms-causes/syc-20375051,"Microcephaly (my-kroh-SEF-uh-lee) is a rare neurological condition in which an infant's head is much smaller than the heads of other children of the same age and sex. Sometimes detected at birth, microcephaly often occurs when there is a problem with brain development in the womb or when the brain stops growing after birth.","[""Craniosynostosis (kray-nee-o-sin-os-TOE-sis). Early fusing of the joints (sutures) between the bony plates that form an infant's skull keeps the brain from growing. Treating craniosynostosis usually means an infant needs surgery to separate the fused bones. This surgery relieves pressure on the brain, giving it enough space to grow and develop."", 'Genetic changes. Down syndrome and other conditions may result in microcephaly.', ""Decreased oxygen to the fetal brain (cerebral anoxia). Certain complications of pregnancy or delivery can impair oxygen delivery to a baby's brain."", 'Infections passed to the fetus during pregnancy. These include toxoplasmosis, cytomegalovirus, German measles (rubella), chickenpox (varicella) and Zika virus.', 'Exposure to drugs, alcohol or certain toxic chemicals in the womb. Any of these may affect fetal brain development during pregnancy.', 'Severe malnutrition. Not getting enough nutrients during pregnancy may hurt fetal brain development.', ""Uncontrolled phenylketonuria (fen-ul-kee-toe-NU-ree-uh), also known as PKU, in the mother. PKU hampers the mother's ability to break down the amino acid phenylalanine and may affect brain development of the fetus during pregnancy.""]",[]
